Date,Open,High,Low,Close,Volume
2019-01-01,361.5,362.91,360.56,361.97,78499336
2019-01-02,358.55,360.2,356.63,358.28,85252013
2019-01-03,352.58,354.71,350.8,352.92,77559110
2019-01-04,348.6,350.84,346.76,348.99,78868978
2019-01-07,355.06,356.65,353.9,355.48,69262499
2019-01-08,354.36,357.02,353.09,355.74,26484346
2019-01-09,355.27,358.81,353.91,357.44,71984768
2019-01-10,360.23,362.07,356.95,358.78,82504587
2019-01-11,359.59,361.03,358.56,360.0,55347797
2019-01-14,355.87,358.84,353.57,356.53,69613454
2019-01-15,360.38,363.39,357.26,360.27,107591696
2019-01-16,360.7,363.23,357.32,359.84,17913489
2019-01-17,356.52,359.5,353.95,356.93,88760242
2019-01-18,358.33,360.92,355.07,357.66,62509062
2019-01-21,360.26,362.42,358.57,360.73,45630157
2019-01-22,368.4,371.77,365.43,368.8,65378887
2019-01-23,372.56,375.83,369.15,372.41,93135255
2019-01-24,376.59,378.23,374.43,376.07,85095816
2019-01-25,369.03,372.15,365.46,368.57,88920729
2019-01-28,361.35,363.23,358.57,360.44,69383143
2019-01-29,366.39,369.28,364.23,367.13,82638120
2019-01-30,371.62,372.32,371.11,371.8,58600212
2019-01-31,368.88,372.01,366.68,369.82,100100330
2019-02-01,364.18,367.46,361.15,364.43,84801579
2019-02-04,363.99,365.14,362.71,363.87,85471561
2019-02-05,367.75,370.09,365.36,367.7,50157629
2019-02-06,369.57,370.63,368.34,369.39,90534562
2019-02-07,366.07,368.51,363.23,365.67,65491176
2019-02-08,357.51,360.36,355.38,358.22,52500941
2019-02-11,350.63,353.8,348.61,351.77,70837374
2019-02-12,357.23,359.24,354.81,356.81,70970363
2019-02-13,357.43,358.37,356.23,357.17,58162548
2019-02-14,361.66,362.7,360.66,361.7,42696932
2019-02-15,359.36,362.01,357.85,360.49,72988915
2019-02-18,368.8,370.57,367.55,369.31,67021065
2019-02-19,367.19,370.03,364.22,367.05,77090693
2019-02-20,360.02,362.62,357.33,359.92,55669664
2019-02-21,368.97,371.3,366.39,368.71,96907155
2019-02-22,363.83,367.28,361.63,365.07,127847200
2019-02-25,368.02,369.31,365.85,367.13,58723032
2019-02-26,368.22,369.53,366.9,368.21,136396714
2019-02-27,362.85,365.95,359.43,362.54,90528460
2019-02-28,360.49,363.03,357.63,360.17,51985135
2019-03-01,362.91,365.73,359.94,362.76,65539079
2019-03-04,365.82,368.2,363.49,365.86,87398635
2019-03-05,362.64,364.31,360.74,362.41,41424023
2019-03-06,358.46,360.4,355.83,357.76,87325499
