Date,Open,High,Low,Close,Volume
2019-01-01,759.36,762.04,757.66,760.33,441046443
2019-01-02,760.05,764.36,755.77,760.08,419196668
2019-01-03,763.96,768.62,756.32,760.96,284339587
2019-01-04,773.68,778.06,769.94,774.32,254530888
2019-01-07,786.67,790.64,782.71,786.69,436573050
2019-01-08,803.02,807.87,798.95,803.81,408441434
2019-01-09,822.48,827.53,815.47,820.52,369164474
2019-01-10,807.38,811.34,802.15,806.1,344580357
2019-01-11,809.76,812.31,807.41,809.96,253495487
2019-01-14,801.94,808.78,794.51,801.33,229220282
2019-01-15,799.25,802.54,795.01,798.3,268987888
2019-01-16,799.27,804.39,794.34,799.46,262395041
2019-01-17,789.85,792.59,784.02,786.75,342499674
2019-01-18,786.41,790.75,782.66,786.99,466168898
2019-01-21,775.19,775.87,773.18,773.85,342787502
2019-01-22,786.54,789.45,784.6,787.5,282467397
2019-01-23,791.79,797.03,786.66,791.9,293952025
2019-01-24,797.38,804.09,790.68,797.39,306703480
2019-01-25,781.82,786.44,776.9,781.51,235789862
2019-01-28,781.25,786.38,778.44,783.56,285243327
2019-01-29,784.39,792.68,777.96,786.23,361202052
2019-01-30,790.29,796.39,786.2,792.29,318042863
2019-01-31,795.36,799.93,791.37,795.93,199316337
2019-02-01,798.33,804.41,790.09,796.15,96030264
2019-02-04,796.42,803.58,789.17,796.33,355927309
2019-02-05,794.37,798.76,789.06,793.46,264362643
2019-02-06,791.03,794.99,787.91,791.86,471082488
2019-02-07,783.33,789.91,779.71,786.28,235588779
2019-02-08,787.19,789.39,783.09,785.29,236632744
2019-02-11,790.82,795.17,787.69,792.03,375674994
2019-02-12,782.51,786.37,780.29,784.14,222937482
2019-02-13,785.66,787.34,783.55,785.23,426737010
2019-02-14,787.52,791.9,781.55,785.92,239472490
2019-02-15,774.71,778.54,768.66,772.49,255626917
2019-02-18,766.5,769.61,761.92,765.03,361637353
2019-02-19,760.77,767.11,754.57,760.91,289969931
2019-02-20,744.96,747.32,741.94,744.3,410743432
2019-02-21,754.36,758.03,750.01,753.68,276781911
2019-02-22,763.0,764.53,760.73,762.26,302684975
2019-02-25,760.28,763.09,757.52,760.32,400299216
2019-02-26,757.29,760.47,755.35,758.52,354186461
2019-02-27,767.89,774.33,763.26,769.7,323382610
2019-02-28,754.09,758.93,751.74,756.57,332648912
2019-03-01,755.37,756.32,753.71,754.66,246067477
2019-03-04,747.09,750.4,743.91,747.21,91290001
2019-03-05,734.39,735.85,731.37,732.83,383051678
2019-03-06,726.63,734.71,721.3,729.37,357802268
2019-03-07,727.59,732.41,723.48,728.3,441142709
2019-03-08,739.44,741.29,736.36,738.21,299085607
2019-03-11,731.8,737.08,729.76,735.04,465127759
2019-03-12,741.06,743.12,739.18,741.24,241572867
2019-03-13,752.94,755.39,750.56,753.01,425379696
2019-03-14,757.26,757.88,755.95,756.57,401593611
2019-03-15,747.64,754.1,741.44,747.9,186358190
2019-03-18,754.86,759.15,750.97,755.26,217202100
2019-03-19,757.33,764.39,747.8,754.83,282917494
2019-03-20,769.91,774.11,762.67,766.85,71273023
2019-03-21,766.8,777.82,758.67,769.66,324151210
2019-03-22,771.26,779.64,766.06,774.42,154513766
2019-03-25,763.9,770.89,755.8,762.78,271138652
2019-03-26,752.36,756.61,745.99,750.22,154273684
2019-03-27,728.58,731.85,724.81,728.08,214760526
2019-03-28,717.32,725.5,710.56,718.73,192607830
2019-03-29,727.35,730.52,725.48,728.64,375451503
2019-04-01,723.81,729.99,716.64,722.81,316751785
2019-04-02,720.56,724.8,716.95,721.19,222712712
2019-04-03,728.78,732.69,724.71,728.62,216978852
2019-04-04,726.9,733.35,719.29,725.73,320159021
2019-04-05,721.83,729.4,715.46,723.02,261993728
2019-04-08,725.88,730.35,720.96,725.43,270751233
2019-04-09,726.63,729.06,724.97,727.4,168000613
2019-04-10,718.8,723.5,714.1,718.79,332094122
2019-04-11,716.05,719.94,711.68,715.56,191967083
