Date,Open,High,Low,Close,Volume
2019-01-01,3024.67,3042.63,3005.95,3023.9,160011591
2019-01-02,3054.6,3082.3,3026.83,3054.53,174139406
2019-01-03,2966.96,2973.32,2955.6,2961.95,167716663
2019-01-04,2981.25,3005.94,2959.35,2984.02,92385530
2019-01-07,3014.55,3029.59,3007.2,3022.22,166780276
2019-01-08,3042.39,3067.21,3013.48,3038.27,209342361
2019-01-09,3061.16,3094.01,3035.25,3068.05,97150149
2019-01-10,3136.14,3152.39,3118.73,3134.98,106503187
2019-01-11,3092.77,3102.95,3083.44,3093.61,165279795
2019-01-14,3067.89,3074.33,3063.85,3070.29,183448317
2019-01-15,3065.71,3106.71,3027.25,3068.21,96834619
2019-01-16,3017.68,3036.13,2998.94,3017.39,172878992
2019-01-17,3047.05,3061.27,3033.55,3047.77,192658739
2019-01-18,3016.42,3043.19,2989.46,3016.23,178513031
2019-01-21,3043.59,3061.92,3021.85,3040.15,93060893
2019-01-22,3065.78,3092.11,3039.59,3065.92,132771070
2019-01-23,3044.23,3061.07,3022.26,3039.07,120223221
2019-01-24,3032.58,3060.47,3014.1,3041.93,137268886
2019-01-25,3047.19,3061.04,3030.34,3044.18,27268478
2019-01-28,3051.42,3067.72,3025.53,3041.78,71401081
2019-01-29,3012.76,3026.8,2993.95,3007.97,152407098
2019-01-30,3020.93,3023.8,3010.23,3013.08,92238309
2019-01-31,3043.29,3057.08,3029.01,3042.8,172208263
2019-02-01,3007.99,3029.56,2992.42,3013.96,223706490
2019-02-04,3048.57,3075.28,3013.3,3039.93,185812760
2019-02-05,3038.52,3039.96,3022.07,3023.5,76427049
2019-02-06,2942.94,2971.91,2917.71,2946.65,147634774
2019-02-07,2974.29,2974.87,2967.47,2968.05,168120262
2019-02-08,2994.08,3004.96,2984.36,2995.23,176006999
2019-02-11,3026.17,3036.56,3014.44,3024.83,88622425
2019-02-12,3103.9,3113.63,3088.72,3098.43,138410283
2019-02-13,3082.18,3095.16,3073.73,3086.7,184128091
2019-02-14,3142.14,3147.67,3126.68,3132.2,155517842
2019-02-15,3133.47,3143.21,3127.08,3136.82,109618366
2019-02-18,3082.43,3100.33,3062.55,3080.44,118798940
2019-02-19,3133.13,3145.34,3120.14,3132.35,189053854
2019-02-20,3120.15,3135.92,3096.74,3112.47,155757712
2019-02-21,3077.98,3088.44,3068.02,3078.47,165710679
2019-02-22,3073.27,3097.78,3056.45,3080.92,84692424
2019-02-25,3075.1,3086.58,3062.07,3073.55,90295039
2019-02-26,3003.99,3015.77,2987.41,2999.17,131619924
2019-02-27,2959.49,2967.58,2950.98,2959.06,159887366
2019-02-28,2959.91,2978.13,2942.86,2961.07,188352914
2019-03-01,2928.29,2944.08,2908.92,2924.69,146823740
2019-03-04,2906.08,2934.06,2885.68,2913.61,177496289
2019-03-05,2942.93,2949.49,2936.36,2942.93,218034763
2019-03-06,2989.2,2998.96,2978.16,2987.92,96835499
2019-03-07,3039.44,3059.93,3013.68,3034.14,73736794
2019-03-08,3006.72,3023.66,2985.26,3002.18,131304176
2019-03-11,3023.77,3040.27,3004.99,3021.48,126462302
2019-03-12,3007.7,3017.89,2992.5,3002.67,100780526
2019-03-13,2969.36,2987.28,2955.73,2973.63,68224206
2019-03-14,2948.4,2973.52,2923.57,2948.69,129340599
2019-03-15,2957.81,2981.07,2939.98,2963.22,140023595
2019-03-18,2980.05,2989.21,2972.07,2981.23,142512645
2019-03-19,2964.72,2977.88,2947.59,2960.73,132864808
2019-03-20,2966.16,2995.06,2932.07,2960.92,144262330
2019-03-21,2981.11,3012.99,2960.81,2992.61,89468871
2019-03-22,3007.18,3041.99,2979.46,3014.21,87606548
2019-03-25,2950.93,2969.48,2928.96,2947.49,133055694
2019-03-26,2965.0,2984.47,2950.13,2969.57,93631271
2019-03-27,3002.09,3015.48,2980.46,2993.81,199810506
2019-03-28,2983.08,2998.63,2971.71,2987.25,144106345
2019-03-29,2973.46,2988.85,2963.46,2978.83,165354712
2019-04-01,2967.62,2995.51,2936.7,2964.56,108502621
2019-04-02,2980.99,2992.76,2967.28,2979.04,140711165
2019-04-03,2976.55,2990.12,2954.81,2968.34,88050152
2019-04-04,2991.08,3012.1,2969.02,2990.04,151891600
2019-04-05,2960.49,2973.86,2952.49,2965.84,126558482
2019-04-08,2982.69,2990.36,2979.64,2987.31,81627498
2019-04-09,2984.99,2997.74,2977.5,2990.23,96399915
2019-04-10,2989.84,3001.27,2975.95,2987.37,164472399
2019-04-11,2944.15,2955.13,2934.26,2945.24,189690258
2019-04-12,2946.31,2960.9,2927.01,2941.57,158917204
2019-04-15,2932.4,2953.1,2902.41,2923.05,208534424
2019-04-16,2853.86,2868.35,2841.13,2855.61,162994626
2019-04-17,2862.88,2870.92,2852.65,2860.69,141735349
2019-04-18,2859.04,2879.22,2844.53,2864.68,105570609
2019-04-19,2859.49,2876.88,2844.83,2862.2,87409076
2019-04-22,2852.08,2867.71,2822.47,2838.03,202421336
2019-04-23,2871.42,2884.85,2851.18,2864.58,80583094
2019-04-24,2836.2,2859.18,2816.37,2839.33,112344594
2019-04-25,2835.18,2856.15,2813.81,2834.77,174609426
2019-04-26,2855.61,2882.27,2827.85,2854.49,157824571
2019-04-29,2859.66,2862.71,2855.98,2859.03,163598017
2019-04-30,2851.44,2870.05,2830.58,2849.18,112693189
2019-05-01,2822.52,2839.57,2810.29,2827.32,173442393
2019-05-02,2824.21,2850.43,2802.73,2828.92,145242293
2019-05-03,2771.29,2781.76,2754.0,2764.45,156559860
2019-05-06,2842.26,2857.03,2827.07,2841.84,139347190
2019-05-07,2782.46,2805.62,2762.51,2785.64,177677728
2019-05-08,2711.92,2726.84,2695.73,2710.64,101341831
2019-05-09,2710.64,2727.76,2693.48,2710.6,130952028
2019-05-10,2718.85,2731.77,2696.78,2709.66,136610059
2019-05-13,2691.37,2711.93,2677.75,2698.28,218406554
2019-05-14,2664.62,2675.11,2652.41,2662.9,193884923
2019-05-15,2653.21,2668.75,2642.49,2658.02,208972817
2019-05-16,2688.47,2709.21,2668.09,2688.82,201031319
2019-05-17,2723.6,2733.37,2719.95,2729.72,226574345
2019-05-20,2769.97,2781.67,2765.99,2777.68,206192135
2019-05-21,2807.45,2823.06,2792.63,2808.24,121636068
2019-05-22,2782.59,2794.34,2763.38,2775.11,184945214
2019-05-23,2709.23,2720.98,2694.41,2706.14,151742503
2019-05-24,2749.96,2772.82,2733.48,2756.3,197331534
2019-05-27,2786.86,2806.33,2763.21,2782.65,179021439
2019-05-28,2720.33,2733.3,2707.59,2720.56,109437406
2019-05-29,2720.78,2732.95,2704.55,2716.7,107632708
2019-05-30,2696.22,2724.24,2666.92,2694.94,126937348
2019-05-31,2708.47,2718.55,2692.78,2702.84,210374841
2019-06-03,2675.45,2693.31,2656.64,2674.49,128358254
2019-06-04,2642.49,2645.19,2640.76,2643.46,138906566
2019-06-05,2584.02,2598.31,2573.02,2587.3,90827069
2019-06-06,2625.25,2648.7,2612.43,2635.83,168702756
2019-06-07,2587.71,2597.89,2574.01,2584.17,180561094
2019-06-10,2571.1,2590.88,2551.58,2571.36,145921727
2019-06-11,2534.12,2555.02,2511.8,2532.68,161153515
2019-06-12,2535.01,2550.29,2525.89,2541.14,177257693
2019-06-13,2493.33,2517.74,2467.05,2491.44,115010874
2019-06-14,2488.94,2495.79,2481.39,2488.24,152340362
2019-06-17,2507.48,2525.67,2487.07,2505.24,110787226
2019-06-18,2514.32,2523.1,2505.41,2514.19,238999837
2019-06-19,2517.85,2531.42,2510.52,2524.07,217701551
2019-06-20,2489.1,2509.8,2472.72,2493.39,174506684
2019-06-21,2505.63,2519.85,2494.84,2509.04,78263443
2019-06-24,2446.98,2452.88,2439.02,2444.92,148355030
2019-06-25,2425.0,2436.63,2411.9,2423.52,144651050
2019-06-26,2436.44,2446.68,2427.89,2438.12,117381589
2019-06-27,2401.08,2418.36,2386.22,2403.49,117523706
2019-06-28,2410.03,2431.04,2390.73,2411.73,127235619
2019-07-01,2400.26,2411.63,2391.31,2402.67,147339536
2019-07-02,2404.2,2405.9,2402.9,2404.6,91633647
2019-07-03,2386.71,2399.08,2369.76,2382.1,121694594
2019-07-04,2398.18,2402.84,2394.85,2399.51,107075618
2019-07-05,2350.82,2364.56,2338.19,2351.93,158269597
2019-07-08,2396.43,2408.39,2385.82,2397.78,119927044
2019-07-09,2414.48,2420.49,2403.82,2409.82,131774185
2019-07-10,2416.27,2431.0,2402.35,2417.08,97484117
2019-07-11,2443.69,2457.78,2428.61,2442.7,102568722
2019-07-12,2427.25,2434.79,2420.81,2428.34,130991884
2019-07-15,2368.32,2394.47,2349.37,2375.47,92360918
2019-07-16,2419.35,2455.42,2396.67,2432.61,132622402
2019-07-17,2410.44,2416.95,2396.97,2403.46,132048100
2019-07-18,2436.63,2448.05,2420.0,2431.39,131373484
2019-07-19,2365.2,2384.34,2347.14,2366.28,125817934
2019-07-22,2368.37,2374.52,2360.96,2367.11,188827119
2019-07-23,2323.59,2335.78,2315.9,2328.07,172215968
2019-07-24,2328.91,2343.09,2312.66,2326.83,194709660
2019-07-25,2300.74,2318.44,2287.85,2305.53,163907674
2019-07-26,2279.09,2290.0,2269.59,2280.49,160359919
2019-07-29,2274.34,2290.73,2254.45,2270.81,130386675
2019-07-30,2279.48,2281.47,2276.41,2278.4,145815590
2019-07-31,2293.63,2306.54,2275.47,2288.35,121591656
2019-08-01,2355.99,2364.96,2342.86,2351.81,107581238
2019-08-02,2325.27,2333.96,2313.44,2322.12,164351197
2019-08-05,2369.54,2390.48,2351.84,2372.75,159399007
2019-08-06,2362.35,2379.68,2347.1,2364.41,83843496
2019-08-07,2374.66,2380.06,2369.93,2375.32,191392442
2019-08-08,2340.68,2347.07,2332.68,2339.06,162833795
2019-08-09,2331.37,2339.81,2322.45,2330.9,211766804
2019-08-12,2314.66,2320.39,2302.48,2308.2,228131396
2019-08-13,2327.84,2338.94,2320.18,2331.26,149530011
2019-08-14,2325.63,2344.53,2313.31,2332.18,40021645
2019-08-15,2318.21,2331.43,2306.43,2319.64,166929137
2019-08-16,2334.02,2335.68,2326.39,2328.05,118907110
2019-08-19,2307.56,2320.68,2297.88,2310.99,203301646
2019-08-20,2277.42,2289.49,2265.77,2277.84,94297109
2019-08-21,2316.26,2326.16,2294.51,2304.35,156043462
2019-08-22,2290.41,2310.81,2271.16,2291.55,70755602
2019-08-23,2264.15,2275.17,2251.96,2262.97,144708000
2019-08-26,2251.82,2264.75,2243.81,2256.73,80053465
2019-08-27,2255.66,2262.4,2247.67,2254.41,114407025
2019-08-28,2234.65,2252.87,2219.85,2238.04,163269141
2019-08-29,2204.77,2223.6,2176.33,2195.08,207146510
2019-08-30,2243.25,2259.13,2223.68,2239.53,172271147
2019-09-02,2190.83,2219.63,2164.51,2193.27,191893513
2019-09-03,2185.02,2197.58,2173.03,2185.58,131493970
2019-09-04,2177.19,2211.65,2152.43,2186.79,124555755
2019-09-05,2170.88,2172.11,2166.52,2167.75,70949182
2019-09-06,2185.74,2187.67,2183.54,2185.47,188886595
2019-09-09,2223.4,2230.23,2217.08,2223.9,199613265
2019-09-10,2198.53,2214.75,2184.41,2200.62,84805462
2019-09-11,2176.99,2194.09,2160.41,2177.5,127605738
2019-09-12,2119.54,2134.71,2102.66,2117.82,166682528
2019-09-13,2072.28,2086.44,2052.61,2066.73,154830297
2019-09-16,2063.52,2076.44,2051.01,2063.93,158133418
2019-09-17,2085.91,2098.1,2077.36,2089.54,144817824
2019-09-18,2077.36,2089.92,2067.51,2080.06,33740322
2019-09-19,2043.48,2056.02,2031.71,2044.25,148899222
2019-09-20,1999.48,2007.9,1989.57,1997.98,156534456
2019-09-23,2003.19,2009.84,1996.06,2002.71,169737220
2019-09-24,1966.14,1985.07,1954.51,1973.4,107148527
2019-09-25,1985.53,1993.45,1978.13,1986.04,129851669
2019-09-26,1997.58,2001.19,1989.09,1992.69,111522413
2019-09-27,1979.66,1982.58,1971.81,1974.73,186779067
2019-09-30,2007.24,2020.04,1985.96,1998.71,197796445
2019-10-01,2018.99,2032.1,2002.99,2016.08,158552177
2019-10-02,2031.88,2042.08,2021.57,2031.77,163266234
2019-10-03,2024.02,2037.57,2012.06,2025.6,65039283
2019-10-04,2004.28,2009.63,1996.93,2002.28,66785174
2019-10-07,2017.87,2022.06,2015.43,2019.62,135602265
2019-10-08,2026.62,2040.25,2014.05,2027.68,132657203
2019-10-09,1996.13,2005.77,1987.66,1997.3,101509747
2019-10-10,2021.7,2026.78,2016.66,2021.75,133636360
2019-10-11,2062.63,2079.29,2039.03,2055.62,134850100
2019-10-14,2036.47,2047.56,2025.68,2036.77,151490959
2019-10-15,2058.81,2065.59,2049.53,2056.29,192236994
2019-10-16,2047.54,2064.99,2035.51,2052.93,174852224
2019-10-17,2070.41,2076.89,2062.43,2068.91,156949489
2019-10-18,2028.63,2041.99,2017.09,2030.44,147294240
2019-10-21,2040.67,2061.28,2017.08,2037.66,44740111
2019-10-22,2004.45,2016.57,1990.24,2002.35,87437099
2019-10-23,2000.38,2013.35,1992.91,2005.86,158655102
2019-10-24,1990.81,1997.57,1984.16,1990.92,184864882
2019-10-25,1991.03,1998.61,1977.21,1984.77,170596874
2019-10-28,1951.43,1960.46,1948.17,1957.18,109775263
2019-10-29,1943.6,1961.65,1931.22,1949.24,117530169
2019-10-30,1954.92,1969.29,1942.58,1956.95,145433285
2019-10-31,1963.63,1976.48,1949.27,1962.12,134969573
2019-11-01,1973.01,1992.24,1956.59,1975.79,170383620
2019-11-04,1990.98,1998.06,1986.02,1993.1,15077520
2019-11-05,2030.98,2041.32,2011.99,2022.29,101517766
2019-11-06,2046.04,2059.36,2035.56,2048.86,127105347
2019-11-07,2098.19,2116.15,2086.07,2103.99,185625212
2019-11-08,2121.5,2136.16,2113.46,2128.1,120520699
2019-11-11,2116.44,2130.56,2099.78,2113.87,153308372
2019-11-12,2136.14,2146.06,2128.86,2138.76,156943142
2019-11-13,2138.94,2163.4,2120.88,2145.28,162130030
2019-11-14,2107.0,2118.16,2097.53,2108.68,181142072
2019-11-15,2059.86,2065.28,2052.87,2058.29,185889327
2019-11-18,2019.13,2034.95,2007.55,2023.34,120248170
2019-11-19,2033.8,2048.21,2025.65,2040.04,91323617
2019-11-20,2088.88,2094.31,2083.65,2089.08,146535245
2019-11-21,2050.29,2063.42,2036.13,2049.25,131386950
2019-11-22,2030.97,2043.79,2018.79,2031.6,145129424
2019-11-25,1942.23,1951.88,1933.32,1942.97,189341387
2019-11-26,1952.27,1963.68,1945.55,1956.94,213621785
2019-11-27,1974.52,1988.48,1964.23,1978.17,122404319
2019-11-28,1924.78,1940.94,1914.41,1930.53,137040025
2019-11-29,1889.18,1904.05,1873.72,1888.58,179552231
2019-12-02,1870.91,1887.93,1856.17,1873.17,171701246
2019-12-03,1872.0,1883.81,1855.97,1867.76,143857088
2019-12-04,1893.9,1907.51,1879.44,1893.05,124523851
2019-12-05,1916.07,1927.59,1904.93,1916.45,159914282
2019-12-06,1873.35,1886.24,1858.53,1871.41,143818816
2019-12-09,1886.56,1894.08,1883.35,1890.86,119113576
2019-12-10,1856.83,1864.25,1849.68,1857.11,126668178
2019-12-11,1829.91,1832.36,1818.51,1820.95,147563788
2019-12-12,1867.0,1870.89,1861.24,1865.13,39762295
2019-12-13,1864.09,1866.5,1858.24,1860.65,109364628
2019-12-16,1835.13,1840.77,1832.32,1837.96,118271630
2019-12-17,1872.47,1886.35,1859.47,1873.34,199110148
2019-12-18,1851.58,1869.88,1835.48,1853.76,118727170
2019-12-19,1879.76,1883.97,1872.71,1876.91,155582552
2019-12-20,1892.75,1895.63,1883.2,1886.07,113236118
2019-12-23,1839.02,1853.44,1828.86,1843.26,147791835
2019-12-24,1861.9,1873.17,1844.44,1855.68,136916809
2019-12-25,1854.24,1869.32,1835.73,1850.79,182798533
2019-12-26,1843.75,1868.8,1824.67,1849.66,146018600
2019-12-27,1856.72,1870.36,1848.24,1861.85,179408914
2019-12-30,1869.55,1877.27,1858.55,1866.25,146981520
2019-12-31,1881.18,1887.06,1867.0,1872.85,64720335
2020-01-01,1847.1,1853.73,1839.57,1846.2,180508312
2020-01-02,1844.85,1852.13,1840.82,1848.09,166220734
2020-01-03,1781.24,1788.4,1774.34,1781.5,117071723
2020-01-06,1785.09,1789.39,1783.84,1788.14,121726281
2020-01-07,1821.46,1836.84,1806.89,1822.27,181748294
2020-01-08,1810.33,1815.79,1809.7,1815.16,144420352
2020-01-09,1792.43,1804.09,1782.64,1794.3,164411657
2020-01-10,1816.76,1823.46,1807.69,1814.37,177430022
2020-01-13,1830.82,1838.82,1821.66,1829.65,191118312
2020-01-14,1811.38,1818.5,1804.1,1811.22,62987852
2020-01-15,1787.97,1790.11,1782.98,1785.12,217869919
2020-01-16,1807.11,1821.44,1789.36,1803.66,112392586
2020-01-17,1820.84,1825.39,1808.31,1812.84,123408975
2020-01-20,1806.75,1813.7,1794.61,1801.55,123160219
2020-01-21,1822.61,1835.64,1804.89,1817.89,166114130
2020-01-22,1833.79,1845.57,1821.27,1833.04,126472779
2020-01-23,1833.66,1838.05,1832.6,1836.98,254586856
2020-01-24,1844.89,1856.83,1830.21,1842.12,201616299
2020-01-27,1844.12,1855.59,1833.3,1844.76,98785812
2020-01-28,1832.92,1839.83,1822.1,1828.99,225120608
2020-01-29,1825.12,1831.38,1818.27,1824.53,137652693
2020-01-30,1797.01,1813.78,1783.76,1800.51,28986713
2020-01-31,1810.07,1810.32,1807.51,1807.76,172493239
