Date,Open,High,Low,Close,Volume
2019-01-01,2828.55,2839.05,2818.17,2828.67,248285055
2019-01-02,2826.29,2826.96,2825.83,2826.5,275657711
2019-01-03,2847.75,2866.4,2816.64,2835.21,249465629
2019-01-04,2803.0,2820.43,2792.51,2809.91,188103609
2019-01-07,2782.73,2804.3,2771.44,2792.97,170266406
2019-01-08,2784.9,2802.09,2773.87,2791.04,340505866
2019-01-09,2843.2,2860.23,2827.35,2844.38,174431125
2019-01-10,2803.49,2830.56,2775.55,2802.61,161737065
2019-01-11,2797.09,2821.74,2772.37,2797.01,177349375
2019-01-14,2871.59,2879.33,2860.34,2868.08,254759032
2019-01-15,2873.86,2892.69,2852.59,2871.4,279389448
2019-01-16,2796.76,2810.36,2783.07,2796.68,239081671
2019-01-17,2779.33,2800.22,2762.31,2783.18,307985538
2019-01-18,2747.71,2761.71,2734.91,2748.91,266794296
2019-01-21,2763.74,2772.23,2749.63,2758.1,202527686
2019-01-22,2711.68,2731.47,2700.21,2719.97,300068288
2019-01-23,2671.86,2685.88,2662.7,2676.7,252375351
2019-01-24,2687.39,2700.95,2671.77,2685.31,203968239
2019-01-25,2669.33,2692.45,2646.39,2669.51,132551659
2019-01-28,2618.64,2644.14,2596.94,2622.41,169586425
2019-01-29,2678.06,2690.88,2661.32,2674.13,234043474
2019-01-30,2654.02,2673.64,2635.09,2654.71,187211910
2019-01-31,2661.68,2681.28,2648.29,2667.86,167617687
2019-02-01,2697.34,2724.32,2667.4,2694.35,165053133
2019-02-04,2652.76,2670.71,2642.15,2660.07,226996220
2019-02-05,2684.07,2695.03,2672.79,2683.75,236503816
2019-02-06,2667.2,2689.72,2643.86,2666.38,309539574
2019-02-07,2619.36,2632.02,2613.32,2625.97,261115011
2019-02-08,2538.23,2550.02,2525.95,2537.73,151841429
2019-02-11,2530.17,2546.23,2522.88,2538.91,203758039
2019-02-12,2502.51,2514.01,2500.12,2511.61,200101756
2019-02-13,2507.9,2524.19,2488.37,2504.63,211832827
2019-02-14,2500.05,2504.66,2493.14,2497.75,159346311
2019-02-15,2442.96,2454.7,2432.96,2444.69,180839194
2019-02-18,2480.86,2493.82,2469.74,2482.69,192787099
2019-02-19,2490.04,2506.14,2478.33,2494.41,132290553
2019-02-20,2546.77,2548.64,2542.5,2544.37,129443864
2019-02-21,2552.84,2572.51,2534.02,2553.69,205890009
2019-02-22,2525.05,2533.61,2513.47,2522.02,204617787
2019-02-25,2558.78,2569.43,2548.17,2558.82,269618609
2019-02-26,2541.13,2556.32,2517.79,2532.94,159905415
2019-02-27,2557.73,2560.58,2549.73,2552.57,265961844
2019-02-28,2567.17,2575.42,2556.08,2564.32,290370882
2019-03-01,2541.19,2552.47,2525.7,2536.97,28538134
2019-03-04,2517.75,2539.19,2493.05,2514.47,124145508
2019-03-05,2514.06,2530.92,2492.17,2508.99,216671857
2019-03-06,2514.07,2537.17,2495.15,2518.22,230613618
2019-03-07,2468.65,2479.57,2461.28,2472.2,246725128
2019-03-08,2473.3,2493.64,2453.02,2473.36,181633737
2019-03-11,2434.75,2450.55,2417.87,2433.65,205820433
2019-03-12,2408.81,2423.1,2392.86,2407.14,150794846
2019-03-13,2361.28,2378.98,2341.93,2359.62,164385459
