Date,Open,High,Low,Close,Volume
2019-01-01,237.07,238.46,236.11,237.5,145364436
2019-01-02,238.57,239.56,237.69,238.68,172267412
2019-01-03,237.58,238.27,236.26,236.95,105802401
2019-01-04,237.51,238.35,235.78,236.61,141687434
2019-01-07,231.65,233.67,228.96,230.97,17631256
2019-01-08,236.2,236.65,234.79,235.24,60580691
2019-01-09,232.36,232.59,232.21,232.43,83511677
2019-01-10,235.57,236.75,233.92,235.09,75609379
2019-01-11,236.31,238.35,234.05,236.08,110739894
2019-01-14,235.2,236.22,233.33,234.35,68169838
2019-01-15,233.68,234.61,232.48,233.41,115590104
2019-01-16,234.89,236.62,233.86,235.58,122079693
2019-01-17,233.46,235.82,231.65,234.0,70584569
2019-01-18,233.26,235.65,230.5,232.88,115841492
2019-01-21,232.97,234.78,232.28,234.08,107521976
2019-01-22,233.79,234.66,233.2,234.08,114228585
2019-01-23,232.8,234.51,231.53,233.24,126858441
2019-01-24,228.24,230.05,226.02,227.82,155919015
2019-01-25,230.68,231.66,229.28,230.26,46832214
2019-01-28,227.9,229.3,227.4,228.79,56095455
2019-01-29,230.22,231.12,228.95,229.85,162872355
2019-01-30,230.13,231.65,228.69,230.22,89022462
2019-01-31,236.6,238.39,234.23,236.02,86055760
2019-02-01,232.06,232.23,231.63,231.8,123423568
2019-02-04,231.09,231.85,229.49,230.24,60335059
2019-02-05,230.88,231.57,229.43,230.11,56754172
2019-02-06,225.47,226.45,224.49,225.47,136393082
2019-02-07,227.33,228.28,226.35,227.3,85001656
2019-02-08,223.58,225.51,222.03,223.96,33642628
2019-02-11,228.72,228.84,228.51,228.63,60732320
2019-02-12,230.94,231.76,230.17,230.99,127520956
2019-02-13,227.58,229.22,226.29,227.93,83847337
2019-02-14,226.68,228.32,225.11,226.75,72268925
2019-02-15,221.23,223.82,218.74,221.34,64188845
2019-02-18,223.55,225.85,221.65,223.95,184959041
2019-02-19,223.54,224.27,222.85,223.59,80339773
2019-02-20,223.72,224.35,222.89,223.53,144989494
2019-02-21,225.07,226.23,223.52,224.67,142119774
2019-02-22,224.56,227.37,222.8,225.6,69428736
2019-02-25,221.29,222.78,220.42,221.91,139829149
2019-02-26,219.04,219.62,218.23,218.81,110152579
2019-02-27,218.91,219.88,217.88,218.85,39056247
2019-02-28,217.76,219.9,216.59,218.72,105785368
2019-03-01,218.23,220.0,216.33,218.1,92306999
2019-03-04,219.59,221.02,217.97,219.41,92166975
2019-03-05,212.81,213.97,211.41,212.58,56296706
2019-03-06,213.21,215.07,211.57,213.43,36757209
2019-03-07,214.52,217.24,212.38,215.09,106106311
2019-03-08,218.13,218.88,217.16,217.92,120121999
2019-03-11,214.32,215.13,213.06,213.87,143197443
2019-03-12,215.81,216.1,215.19,215.47,119970862
2019-03-13,216.21,216.96,215.48,216.23,135214358
2019-03-14,216.15,217.59,215.04,216.48,156724422
2019-03-15,218.67,219.33,217.75,218.41,104919067
2019-03-18,219.35,220.44,218.55,219.64,118949911
2019-03-19,216.01,217.04,214.28,215.3,142337448
2019-03-20,220.58,220.75,219.69,219.86,112486506
2019-03-21,217.87,219.29,216.76,218.17,87450932
2019-03-22,217.02,217.38,216.4,216.76,180036591
2019-03-25,215.09,217.37,213.27,215.55,63294570
2019-03-26,215.53,216.72,214.34,215.53,195676037
2019-03-27,213.23,214.23,212.1,213.1,126415902
2019-03-28,209.6,211.21,208.25,209.85,85745298
2019-03-29,206.08,208.01,203.85,205.77,81058633
2019-04-01,206.48,207.6,205.3,206.42,107811232
2019-04-02,206.94,208.62,205.33,207.01,104324011
2019-04-03,205.86,206.61,204.79,205.54,155020449
2019-04-04,201.17,201.89,200.09,200.8,173289716
2019-04-05,205.55,206.69,204.03,205.17,134949842
2019-04-08,204.84,205.72,203.98,204.86,91479149
2019-04-09,205.27,206.47,203.91,205.11,97953783
2019-04-10,202.45,203.42,201.45,202.42,126593922
2019-04-11,200.24,201.77,199.24,200.77,96105775
2019-04-12,200.25,200.45,199.89,200.09,104616021
2019-04-15,200.78,202.84,199.43,201.49,60315472
2019-04-16,199.75,200.32,199.45,200.03,118689573
2019-04-17,204.15,205.57,202.55,203.97,96337430
2019-04-18,201.01,201.9,200.28,201.18,69620527
2019-04-19,200.38,201.42,199.3,200.34,134846763
2019-04-22,202.39,203.25,201.03,201.88,142406246
2019-04-23,200.4,201.13,199.57,200.3,70969652
2019-04-24,204.44,205.24,203.7,204.5,76191333
2019-04-25,206.1,207.02,205.3,206.21,77399189
2019-04-26,209.1,210.3,207.46,208.66,134640804
2019-04-29,208.33,209.31,206.67,207.64,144457749
2019-04-30,208.15,209.6,206.57,208.03,94744475
2019-05-01,204.89,207.5,202.85,205.45,113158833
2019-05-02,211.17,211.6,210.67,211.1,79550494
2019-05-03,208.42,208.99,207.91,208.48,111144275
2019-05-06,203.99,206.53,202.35,204.89,50432140
2019-05-07,206.74,207.76,205.63,206.66,91095778
2019-05-08,207.03,207.71,206.17,206.86,118762002
2019-05-09,200.84,202.22,199.28,200.66,91881187
2019-05-10,199.79,200.28,199.41,199.89,129094439
2019-05-13,202.6,204.07,200.83,202.3,140602983
2019-05-14,202.61,203.86,201.58,202.82,139199365
2019-05-15,201.96,203.53,200.49,202.06,74043052
2019-05-16,200.67,202.3,199.43,201.06,116023437
2019-05-17,197.56,199.03,196.48,197.95,91385486
2019-05-20,196.86,198.08,196.15,197.37,73826791
2019-05-21,196.46,198.02,194.78,196.34,137417324
2019-05-22,195.92,196.25,195.19,195.52,141647155
2019-05-23,192.73,194.1,191.69,193.06,117824429
2019-05-24,190.69,192.24,188.49,190.03,59799666
2019-05-27,192.21,193.59,190.47,191.86,173260102
2019-05-28,191.42,192.43,190.76,191.78,104887519
2019-05-29,189.47,191.12,187.27,188.92,107948261
2019-05-30,192.13,193.22,190.91,191.99,69429696
2019-05-31,190.97,193.71,189.04,191.77,88200410
2019-06-03,190.55,192.58,188.19,190.22,125091356
2019-06-04,190.7,192.21,189.37,190.88,113330393
2019-06-05,190.71,192.92,189.04,191.24,137628201
2019-06-06,193.8,194.36,193.23,193.79,108843310
2019-06-07,190.84,192.99,189.35,191.5,95280449
2019-06-10,191.92,192.79,190.8,191.67,133489020
2019-06-11,194.35,195.49,193.25,194.39,135718092
2019-06-12,190.85,191.77,189.68,190.6,130784885
2019-06-13,185.6,186.49,185.03,185.92,23525945
2019-06-14,187.08,188.62,185.11,186.65,122765283
2019-06-17,187.76,188.14,187.37,187.76,135593352
2019-06-18,190.5,191.81,189.41,190.72,60961656
2019-06-19,188.62,189.83,187.49,188.7,96883724
2019-06-20,189.89,190.07,189.7,189.88,111536492
2019-06-21,186.52,187.09,185.66,186.23,139802362
2019-06-24,185.19,186.56,183.86,185.23,149844742
2019-06-25,183.52,185.41,181.77,183.66,26463562
2019-06-26,181.97,183.08,180.86,181.97,90524998
2019-06-27,183.34,184.72,181.83,183.2,67286527
2019-06-28,181.1,182.09,179.99,180.99,115695579
2019-07-01,177.18,178.18,175.83,176.84,110474335
2019-07-02,176.64,177.72,176.1,177.18,153208361
2019-07-03,176.86,177.71,176.34,177.19,103234521
2019-07-04,177.52,178.49,176.6,177.57,91314806
2019-07-05,184.25,184.73,183.37,183.85,151649843
2019-07-08,190.13,191.68,188.69,190.24,116974923
2019-07-09,192.45,193.7,191.27,192.53,119395720
2019-07-10,194.73,195.17,193.89,194.33,157253597
2019-07-11,192.89,193.0,191.88,191.98,108363987
2019-07-12,191.1,192.49,189.2,190.59,97964825
2019-07-15,188.47,190.02,187.97,189.52,106425544
2019-07-16,185.84,186.85,185.62,186.63,162675003
2019-07-17,187.8,187.99,187.37,187.56,84521476
2019-07-18,186.59,187.52,185.33,186.26,144684285
2019-07-19,183.18,185.6,181.89,184.3,154617290
2019-07-22,188.37,189.79,187.39,188.81,142405370
2019-07-23,188.22,189.25,186.93,187.95,139526789
2019-07-24,188.44,189.32,187.04,187.92,81418307
2019-07-25,186.5,187.78,185.42,186.7,42265345
2019-07-26,185.02,185.1,184.86,184.93,152771487
2019-07-29,181.45,182.26,180.85,181.66,138147506
2019-07-30,182.64,184.0,181.29,182.65,113901475
2019-07-31,179.55,180.47,178.43,179.35,71823793
2019-08-01,176.86,178.14,175.98,177.26,127290248
2019-08-02,177.65,178.38,177.0,177.74,155910223
2019-08-05,177.71,178.72,176.59,177.59,83436666
2019-08-06,179.08,179.55,178.96,179.43,68073561
2019-08-07,178.33,179.58,177.1,178.34,64308290
2019-08-08,177.78,178.93,176.24,177.39,84740982
2019-08-09,178.55,179.98,176.46,177.89,171956502
2019-08-12,175.45,177.02,173.72,175.29,123803086
2019-08-13,175.32,176.78,173.98,175.44,48023796
2019-08-14,177.61,178.56,176.88,177.82,67528564
2019-08-15,177.76,178.96,177.17,178.37,131530082
2019-08-16,178.83,179.82,177.72,178.71,86044913
2019-08-19,183.31,184.87,181.01,182.57,58611679
2019-08-20,183.24,184.16,182.11,183.03,145922906
2019-08-21,180.87,182.06,179.24,180.43,75767888
