Date,Open,High,Low,Close,Volume
2019-01-01,3094.7,3121.43,3070.31,3097.03,41666108
2019-01-02,3081.09,3092.06,3066.47,3077.43,52492918
2019-01-03,3098.05,3117.92,3079.77,3099.63,63787157
2019-01-04,3169.19,3180.7,3150.4,3161.88,42648094
2019-01-07,3133.8,3159.06,3105.34,3130.57,53357745
2019-01-08,3118.26,3139.95,3097.15,3118.84,17282338
2019-01-09,3079.27,3093.63,3064.31,3078.67,88197990
2019-01-10,3090.54,3120.05,3076.9,3106.35,46307537
2019-01-11,3161.59,3192.34,3128.4,3159.13,62045355
2019-01-14,3196.25,3211.42,3176.91,3192.06,48818814
2019-01-15,3145.59,3185.31,3107.63,3147.33,71466013
2019-01-16,3090.8,3104.94,3076.36,3090.5,48002617
2019-01-17,3039.94,3054.28,3018.84,3033.15,31684453
2019-01-18,2990.84,3003.18,2978.77,2991.11,32949665
2019-01-21,3047.13,3069.03,3011.25,3033.05,30764828
2019-01-22,3028.83,3052.38,3010.29,3033.81,70657491
2019-01-23,3067.6,3079.88,3056.7,3068.97,56461655
2019-01-24,3128.77,3167.65,3094.43,3133.25,57597669
2019-01-25,3162.89,3180.13,3145.73,3162.97,50812854
2019-01-28,3161.02,3173.19,3149.35,3161.52,47626251
2019-01-29,3197.13,3209.48,3189.07,3201.41,68316103
2019-01-30,3188.82,3201.17,3169.1,3181.42,40938676
2019-01-31,3243.2,3257.67,3226.31,3240.77,48541856
2019-02-01,3171.64,3194.84,3144.73,3167.9,47749639
2019-02-04,3222.25,3222.89,3210.37,3211.02,38722657
2019-02-05,3225.09,3257.33,3204.34,3236.51,41456845
2019-02-06,3214.12,3246.84,3183.41,3216.11,44653774
2019-02-07,3225.77,3243.77,3203.73,3221.71,41891861
2019-02-08,3213.86,3230.62,3190.53,3207.25,54022036
2019-02-11,3193.33,3203.26,3180.48,3190.39,55656901
2019-02-12,3206.6,3223.13,3189.52,3206.05,35597182
2019-02-13,3207.5,3231.29,3181.41,3205.18,43779705
2019-02-14,3265.03,3284.2,3249.67,3268.82,54378882
2019-02-15,3340.57,3345.55,3334.95,3339.93,45323337
2019-02-18,3293.17,3315.87,3262.03,3284.68,44633800
2019-02-19,3254.24,3275.27,3226.99,3247.98,24522441
2019-02-20,3284.78,3300.76,3262.99,3278.94,45381573
2019-02-21,3219.35,3238.91,3207.79,3227.33,39799525
2019-02-22,3244.05,3265.12,3230.75,3251.78,59040790
2019-02-25,3245.92,3276.48,3229.26,3259.76,41265089
2019-02-26,3224.1,3232.82,3217.08,3225.8,31346434
2019-02-27,3197.63,3204.13,3187.61,3194.1,31241949
2019-02-28,3187.15,3216.27,3167.13,3196.19,41237598
2019-03-01,3263.2,3274.94,3235.65,3247.34,51793942
2019-03-04,3280.6,3302.71,3262.68,3284.77,53215354
2019-03-05,3274.87,3300.8,3259.95,3285.83,39911146
2019-03-06,3326.45,3337.24,3305.5,3316.26,54677166
2019-03-07,3376.93,3392.03,3371.65,3386.74,56904675
2019-03-08,3460.81,3481.94,3427.41,3448.47,36323999
2019-03-11,3485.03,3512.37,3459.66,3486.98,63874174
2019-03-12,3560.94,3581.24,3533.02,3553.28,47874515
2019-03-13,3580.13,3599.51,3557.54,3576.89,33155498
2019-03-14,3598.3,3615.32,3582.7,3599.71,38550275
2019-03-15,3636.44,3644.43,3628.87,3636.85,30774795
2019-03-18,3567.99,3582.18,3534.84,3548.95,51778212
2019-03-19,3567.14,3608.66,3527.56,3569.05,37359848
2019-03-20,3513.89,3537.81,3495.46,3519.35,26829586
2019-03-21,3503.59,3544.73,3454.34,3495.38,53478012
2019-03-22,3524.07,3543.61,3498.49,3517.99,74949384
2019-03-25,3482.73,3514.98,3457.08,3489.28,36875974
2019-03-26,3444.54,3453.61,3428.1,3437.15,56654463
2019-03-27,3404.91,3433.2,3372.98,3401.24,39484632
2019-03-28,3363.32,3392.57,3337.53,3366.76,75133669
2019-03-29,3354.07,3372.93,3324.62,3343.42,42580122
2019-04-01,3309.58,3337.8,3286.23,3314.42,55495994
2019-04-02,3255.53,3276.96,3238.85,3260.25,54969918
2019-04-03,3254.66,3267.7,3242.9,3255.94,41670405
2019-04-04,3255.9,3272.49,3238.63,3255.22,51751916
2019-04-05,3298.52,3332.99,3262.27,3296.73,76247470
2019-04-08,3309.31,3314.18,3291.1,3295.95,46141926
2019-04-09,3299.68,3316.36,3280.21,3296.88,73084267
2019-04-10,3285.14,3320.62,3252.33,3287.78,64190114
2019-04-11,3344.51,3358.44,3338.54,3352.45,67485725
2019-04-12,3315.76,3332.79,3301.55,3318.57,43582093
2019-04-15,3462.87,3491.04,3429.84,3457.96,47397851
2019-04-16,3382.2,3394.46,3369.8,3382.06,67915903
2019-04-17,3426.19,3436.79,3407.66,3418.24,26554411
2019-04-18,3428.87,3460.26,3382.95,3414.21,32937325
2019-04-19,3496.32,3507.83,3470.53,3482.0,58775731
2019-04-22,3527.79,3544.52,3513.23,3529.96,68586818
2019-04-23,3476.46,3505.67,3445.54,3474.73,33431552
2019-04-24,3490.21,3515.3,3463.59,3488.67,33054012
2019-04-25,3439.99,3462.25,3426.6,3448.82,56266921
2019-04-26,3419.54,3438.34,3399.45,3418.25,43818586
2019-04-29,3420.61,3433.29,3397.21,3409.85,30728903
2019-04-30,3379.76,3395.05,3361.6,3376.88,33621764
2019-05-01,3405.04,3418.81,3393.83,3407.59,31987718
2019-05-02,3406.96,3438.2,3385.53,3416.71,33220303
2019-05-03,3434.85,3455.79,3422.05,3442.95,71675000
2019-05-06,3385.22,3402.85,3360.08,3377.67,29382507
2019-05-07,3356.85,3377.56,3339.54,3360.23,43797774
2019-05-08,3378.18,3398.15,3353.97,3373.92,61260649
2019-05-09,3435.64,3463.57,3406.65,3434.57,44451494
2019-05-10,3481.39,3505.34,3465.4,3489.31,36507939
2019-05-13,3614.94,3630.24,3597.94,3613.22,67403836
2019-05-14,3633.66,3653.07,3616.94,3636.34,52949945
2019-05-15,3704.21,3728.32,3673.31,3697.37,32786524
2019-05-16,3773.56,3778.67,3766.06,3771.16,44978809
2019-05-17,3765.49,3785.28,3741.15,3760.91,37607009
2019-05-20,3709.73,3726.48,3686.03,3702.75,41737855
2019-05-21,3664.48,3718.8,3614.95,3669.21,68998618
2019-05-22,3676.59,3701.59,3652.82,3677.81,23848320
2019-05-23,3621.33,3644.32,3601.78,3624.74,52754118
2019-05-24,3581.86,3613.67,3557.79,3589.55,72386891
2019-05-27,3571.87,3619.86,3537.48,3585.34,65106284
2019-05-28,3647.5,3664.68,3634.02,3651.19,37332620
2019-05-29,3661.58,3689.11,3637.39,3664.89,47767525
2019-05-30,3634.54,3678.0,3600.4,3643.78,53639328
2019-05-31,3616.02,3638.98,3588.9,3611.84,60833272
2019-06-03,3602.17,3630.02,3582.8,3610.61,74242603
2019-06-04,3588.22,3630.76,3555.45,3597.91,60765748
2019-06-05,3634.93,3675.39,3596.59,3637.03,70361284
2019-06-06,3678.01,3682.25,3668.35,3672.58,68821623
2019-06-07,3646.11,3686.4,3612.72,3652.95,49946421
2019-06-10,3556.75,3588.46,3535.13,3566.77,51219404
2019-06-11,3507.97,3535.58,3480.13,3507.74,49557219
2019-06-12,3506.94,3520.09,3492.56,3505.71,31236495
2019-06-13,3547.56,3576.72,3508.12,3537.19,53745408
2019-06-14,3598.51,3605.46,3585.59,3592.53,36793266
2019-06-17,3497.93,3528.41,3461.89,3492.31,48134331
2019-06-18,3498.19,3529.86,3460.85,3492.46,50967513
2019-06-19,3567.57,3599.62,3531.66,3563.68,41118484
2019-06-20,3576.22,3581.96,3572.63,3578.36,70454967
2019-06-21,3546.62,3548.37,3546.56,3548.32,56661865
2019-06-24,3495.5,3502.45,3489.04,3495.99,58382713
2019-06-25,3459.01,3482.14,3428.15,3451.23,62107550
2019-06-26,3426.99,3442.59,3412.93,3428.52,43959885
2019-06-27,3448.94,3480.53,3424.03,3455.57,58006255
2019-06-28,3501.89,3511.25,3491.55,3500.9,69395857
2019-07-01,3558.0,3569.66,3551.63,3563.28,52474283
2019-07-02,3562.99,3588.65,3531.44,3557.06,65480848
2019-07-03,3625.02,3651.13,3596.92,3623.02,32726634
2019-07-04,3671.5,3693.05,3656.9,3678.42,74193072
2019-07-05,3671.03,3688.19,3652.39,3669.54,47529640
2019-07-08,3650.95,3668.41,3629.87,3647.31,92560666
2019-07-09,3609.87,3618.67,3600.28,3609.08,73662061
2019-07-10,3571.11,3584.49,3549.52,3562.87,44874425
2019-07-11,3511.89,3514.44,3503.22,3505.77,59921992
2019-07-12,3540.81,3548.85,3533.37,3541.42,26020897
2019-07-15,3541.96,3560.38,3527.95,3546.35,43488037
2019-07-16,3551.36,3581.07,3524.31,3554.0,45289258
2019-07-17,3525.64,3559.57,3497.26,3531.15,51219374
2019-07-18,3516.85,3552.18,3500.63,3535.87,39713924
2019-07-19,3509.75,3543.12,3485.15,3518.46,62615757
2019-07-22,3566.74,3587.1,3550.23,3570.57,29735644
2019-07-23,3572.74,3597.45,3550.36,3575.05,48656871
2019-07-24,3588.8,3599.87,3572.91,3583.97,40352859
2019-07-25,3593.6,3615.18,3567.43,3588.98,46351732
2019-07-26,3585.01,3597.03,3564.27,3576.26,43530442
2019-07-29,3555.04,3582.44,3535.47,3562.83,76435869
2019-07-30,3600.94,3623.64,3573.59,3596.27,53160336
2019-07-31,3568.73,3587.08,3549.77,3568.11,76117712
2019-08-01,3638.41,3658.01,3618.13,3637.73,47572302
2019-08-02,3625.01,3643.56,3605.97,3624.52,61561443
2019-08-05,3573.96,3601.88,3559.23,3587.09,75287744
2019-08-06,3570.71,3596.33,3546.77,3572.37,50261053
2019-08-07,3617.59,3634.92,3595.87,3613.17,61600693
2019-08-08,3648.45,3671.35,3637.46,3660.33,61140214
2019-08-09,3723.87,3740.61,3708.91,3725.64,55281780
2019-08-12,3729.11,3750.79,3701.14,3722.78,47579617
2019-08-13,3747.57,3780.74,3712.7,3745.86,16558710
2019-08-14,3703.19,3722.71,3693.21,3712.71,44925644
2019-08-15,3696.2,3716.87,3671.09,3691.74,58407809
2019-08-16,3688.65,3694.93,3673.46,3679.73,27052016
2019-08-19,3677.58,3709.24,3651.53,3683.16,58134166
2019-08-20,3692.45,3710.74,3679.84,3698.11,29794542
2019-08-21,3687.46,3700.56,3682.65,3695.74,64958783
2019-08-22,3704.97,3723.47,3682.82,3701.3,24626037
2019-08-23,3715.77,3737.9,3695.92,3718.03,60522702
2019-08-26,3723.61,3754.99,3702.03,3733.35,46274969
2019-08-27,3772.64,3792.97,3757.98,3778.29,58521061
2019-08-28,3765.77,3782.28,3744.29,3760.77,60244493
2019-08-29,3782.87,3791.22,3770.24,3778.58,40638860
2019-08-30,3810.63,3838.78,3800.8,3828.9,52770161
2019-09-02,3816.64,3840.89,3791.0,3815.23,35091411
2019-09-03,3858.71,3859.53,3850.5,3851.32,34557550
2019-09-04,3808.2,3821.81,3794.05,3807.66,10533300
2019-09-05,3811.68,3837.4,3778.28,3803.95,49301228
2019-09-06,3849.43,3871.47,3825.73,3847.76,34087004
2019-09-09,3813.91,3835.81,3804.91,3826.78,68724489
2019-09-10,3780.67,3825.97,3753.32,3798.5,40277340
2019-09-11,3895.84,3907.8,3881.0,3892.96,41059370
2019-09-12,3853.93,3863.51,3849.58,3859.16,47225097
2019-09-13,3853.2,3870.7,3827.38,3844.85,59556081
2019-09-16,3839.06,3852.91,3825.87,3839.72,57454710
2019-09-17,3876.31,3902.0,3860.08,3885.72,31981729
2019-09-18,3851.44,3871.3,3820.49,3840.3,31229618
2019-09-19,3871.28,3889.8,3849.5,3868.01,36605345
2019-09-20,3764.62,3783.54,3747.99,3766.9,66096531
2019-09-23,3755.44,3783.95,3734.35,3762.81,40566452
2019-09-24,3861.11,3901.99,3831.0,3871.8,38760192
2019-09-25,3866.09,3880.73,3849.07,3863.7,63809136
2019-09-26,3931.0,3950.8,3912.76,3932.55,50971751
2019-09-27,3959.09,3979.86,3937.4,3958.17,50467024
2019-09-30,3963.42,3987.83,3948.67,3973.05,78469350
2019-10-01,3903.84,3941.74,3872.69,3910.53,50595447
2019-10-02,3948.84,3961.68,3933.67,3946.49,28754171
2019-10-03,3932.11,3973.46,3889.32,3930.65,51922644
2019-10-04,3896.91,3933.83,3845.56,3882.34,53147990
2019-10-07,3936.7,3950.24,3914.55,3928.07,39815183
2019-10-08,3944.36,3961.4,3921.19,3938.2,49343692
2019-10-09,3916.6,3943.13,3891.4,3917.92,18580808
2019-10-10,3956.75,3999.42,3920.35,3962.97,24682431
2019-10-11,3971.78,3994.39,3947.12,3969.72,59657894
2019-10-14,3923.27,3935.0,3913.68,3925.4,31939883
2019-10-15,3933.58,3952.77,3913.37,3932.55,56229670
2019-10-16,3950.34,3983.03,3926.43,3959.07,63728685
2019-10-17,3973.89,4001.22,3929.36,3956.56,45575688
2019-10-18,3942.43,3966.36,3924.79,3948.69,28746422
2019-10-21,3991.61,4001.19,3980.27,3989.85,53169150
2019-10-22,3974.79,3983.96,3963.34,3972.51,31874063
2019-10-23,3955.53,4005.04,3915.56,3964.98,45180313
2019-10-24,3932.76,3972.82,3897.42,3937.43,47841295
2019-10-25,3931.51,3954.8,3906.75,3930.03,60028618
2019-10-28,3980.99,3993.16,3968.69,3980.86,46590824
2019-10-29,4005.25,4009.72,4004.86,4009.33,58908852
2019-10-30,3962.62,3993.24,3932.32,3962.93,81193567
2019-10-31,3985.02,3997.53,3970.73,3983.24,65664260
2019-11-01,4089.74,4129.88,4042.68,4082.74,67853618
2019-11-04,4050.04,4073.92,4032.91,4056.76,53782087
2019-11-05,4082.57,4099.48,4066.74,4083.64,77915145
2019-11-06,4079.15,4107.26,4058.2,4086.27,16594618
2019-11-07,4073.09,4090.77,4049.49,4067.15,58212354
2019-11-08,4073.98,4089.92,4071.35,4087.28,65498990
2019-11-11,4052.21,4058.11,4038.52,4044.41,60159896
2019-11-12,4029.2,4051.78,4002.97,4025.53,54400386
2019-11-13,3969.67,3996.1,3945.73,3972.15,41843384
2019-11-14,4040.53,4077.34,4000.21,4036.99,44505029
2019-11-15,4036.08,4067.13,3995.01,4025.99,61678970
2019-11-18,4049.38,4067.77,4021.76,4040.11,49804032
2019-11-19,4017.02,4030.79,4000.09,4013.85,12136496
2019-11-20,4071.54,4106.41,4033.07,4067.9,62790712
2019-11-21,4041.65,4064.93,4015.33,4038.59,51824500
2019-11-22,4129.62,4154.61,4099.13,4124.1,44443452
2019-11-25,4109.6,4144.85,4084.33,4119.51,59557304
2019-11-26,4110.51,4142.8,4072.31,4104.55,60970544
2019-11-27,4032.3,4064.74,4012.2,4044.58,36610517
2019-11-28,3990.5,4011.96,3976.52,3997.96,47732906
2019-11-29,3949.02,3966.55,3936.49,3954.01,41797730
2019-12-02,3962.6,3981.2,3955.99,3974.56,50554320
2019-12-03,3978.36,3988.0,3962.83,3972.46,37669563
2019-12-04,3980.7,3981.34,3969.64,3970.29,44831280
2019-12-05,3986.14,4021.4,3944.75,3979.96,54326078
2019-12-06,4014.42,4031.09,3996.39,4013.05,54740793
2019-12-09,3966.66,3989.37,3929.14,3951.77,46774667
2019-12-10,4002.95,4039.25,3966.62,4002.91,62735927
2019-12-11,3927.05,3949.04,3888.94,3910.84,73449618
2019-12-12,3951.81,3977.04,3922.8,3948.0,26699560
2019-12-13,3937.7,3953.42,3909.91,3925.58,28331153
2019-12-16,3919.97,3931.88,3904.81,3916.72,27711798
2019-12-17,3966.66,3980.6,3945.55,3959.46,37259566
2019-12-18,3956.66,3987.72,3911.15,3942.09,41426975
2019-12-19,4010.98,4029.72,3997.01,4015.74,80765652
2019-12-20,3985.69,4015.06,3962.89,3992.22,35557307
2019-12-23,3977.48,4021.27,3924.37,3968.06,59109174
2019-12-24,3946.64,3979.08,3911.94,3944.37,31536414
2019-12-25,3926.65,3945.28,3922.34,3940.96,53441567
2019-12-26,3919.39,3938.97,3895.45,3915.01,77986007
2019-12-27,4056.06,4076.17,4035.6,4055.71,48140630
2019-12-30,4044.49,4078.7,4002.57,4036.71,59494061
2019-12-31,4021.83,4042.55,4012.87,4033.56,49603484
2020-01-01,4201.96,4233.57,4157.57,4189.09,54015639
2020-01-02,4180.39,4209.66,4158.39,4187.62,28997238
2020-01-03,4260.56,4295.71,4228.66,4263.79,31608631
2020-01-06,4295.24,4308.02,4280.04,4292.81,52015151
2020-01-07,4249.28,4287.97,4206.09,4244.75,41073821
2020-01-08,4281.25,4297.88,4259.25,4275.86,31239129
2020-01-09,4207.17,4222.54,4198.08,4213.44,26180764
2020-01-10,4224.76,4255.35,4197.27,4227.85,42983117
2020-01-13,4250.27,4258.51,4236.65,4244.88,41536458
2020-01-14,4236.14,4272.83,4191.57,4228.19,43104581
2020-01-15,4193.03,4219.61,4167.06,4193.64,58489932
2020-01-16,4213.48,4266.44,4153.8,4206.67,34173527
2020-01-17,4227.45,4241.19,4219.54,4233.27,55945078
2020-01-20,4267.34,4308.05,4233.92,4274.56,41202255
2020-01-21,4286.73,4333.02,4257.96,4304.14,65060107
2020-01-22,4257.3,4289.1,4227.13,4258.91,54142078
2020-01-23,4269.45,4299.27,4241.0,4270.81,30714791
2020-01-24,4313.91,4345.03,4286.59,4317.69,66014857
