Date,Open,High,Low,Close,Volume
2019-01-01,920.75,927.29,916.95,923.47,327625295
2019-01-02,937.81,945.94,928.91,937.03,327848904
2019-01-03,935.44,941.76,931.37,937.68,504021879
2019-01-04,939.12,951.38,929.27,941.52,350384928
2019-01-07,925.78,932.5,920.06,926.78,292411488
2019-01-08,921.86,924.88,918.23,921.25,174938805
2019-01-09,934.14,941.25,927.79,934.89,384990955
2019-01-10,936.92,944.7,931.63,939.4,492911343
2019-01-11,924.32,930.46,919.93,926.06,320853618
2019-01-14,919.58,926.58,910.58,917.56,369159139
2019-01-15,913.05,916.13,907.19,910.26,342341692
2019-01-16,913.41,921.04,904.8,912.43,288855372
2019-01-17,912.64,918.61,907.51,913.47,287890636
2019-01-18,905.06,908.96,902.14,906.03,286421311
2019-01-21,899.41,903.9,895.8,900.29,236639350
2019-01-22,896.17,900.75,888.56,893.13,409632646
2019-01-23,922.31,924.56,917.03,919.28,223099745
2019-01-24,921.66,923.48,915.96,917.78,77294042
2019-01-25,898.37,901.78,895.63,899.05,350310638
2019-01-28,897.65,903.69,891.31,897.35,334547017
2019-01-29,917.32,920.71,913.73,917.11,486628163
2019-01-30,915.93,923.21,912.51,919.77,362815653
2019-01-31,924.25,925.17,921.51,922.43,403821578
2019-02-01,908.58,914.45,903.99,909.85,345443545
2019-02-04,904.56,912.52,900.79,908.73,374843691
2019-02-05,943.23,951.42,934.79,942.97,96847411
2019-02-06,968.14,976.88,956.45,965.15,203856792
2019-02-07,984.16,989.66,978.77,984.27,216528986
2019-02-08,999.28,1004.99,995.34,1001.04,238634867
2019-02-11,982.01,989.0,975.32,982.31,358565141
2019-02-12,991.52,998.94,985.82,993.23,496445543
2019-02-13,988.25,989.6,987.14,988.5,331213569
2019-02-14,989.63,991.3,986.68,988.34,296820979
2019-02-15,1001.57,1010.39,992.29,1001.1,374358590
2019-02-18,981.0,988.44,974.98,982.41,189353095
2019-02-19,978.17,981.19,974.59,977.61,334573224
2019-02-20,992.29,1000.98,980.0,988.66,133213898
2019-02-21,979.77,983.25,976.0,979.48,446371949
2019-02-22,959.75,961.35,959.54,961.13,360166152
2019-02-25,980.44,987.49,975.19,982.24,543098351
2019-02-26,983.55,989.54,975.4,981.38,379582341
2019-02-27,987.22,994.86,981.14,988.76,112245096
2019-02-28,1001.55,1005.77,995.47,999.68,311207372
2019-03-01,1004.8,1007.76,1000.65,1003.61,353384712
2019-03-04,1003.15,1012.38,994.46,1003.68,238921242
2019-03-05,1003.85,1013.78,994.07,1003.99,370311162
2019-03-06,989.66,991.7,987.37,989.42,262804535
2019-03-07,978.68,983.39,973.58,978.28,327671925
2019-03-08,985.05,988.66,981.5,985.11,446607284
2019-03-11,992.42,993.23,990.87,991.68,411603320
2019-03-12,1012.91,1020.29,1003.95,1011.31,354373080
2019-03-13,1032.07,1034.73,1026.81,1029.46,296151554
2019-03-14,1029.25,1035.01,1025.48,1031.23,289250229
2019-03-15,1032.8,1037.88,1028.37,1033.45,375595558
2019-03-18,1037.31,1042.7,1031.23,1036.63,513009845
2019-03-19,1032.4,1037.76,1030.67,1036.02,227433954
2019-03-20,1031.09,1040.06,1023.21,1032.17,223672524
2019-03-21,1050.78,1056.77,1044.7,1050.69,279393567
2019-03-22,1052.73,1059.24,1046.78,1053.29,538048143
2019-03-25,1064.27,1072.98,1053.31,1062.01,311073337
2019-03-26,1073.81,1082.64,1063.64,1072.47,248914737
2019-03-27,1072.12,1078.23,1069.08,1075.18,374446098
