Date,Open,High,Low,Close,Volume
2023-01-02,1057.78,1061.17,1054.49,1057.88,82405096
2023-01-03,1087.77,1094.26,1080.14,1086.63,68384930
2023-01-04,1095.99,1102.61,1089.04,1095.66,85314918
2023-01-05,1081.25,1085.26,1075.29,1079.29,48721844
2023-01-06,1072.58,1077.02,1070.25,1074.68,59385139
2023-01-09,1073.39,1080.18,1067.4,1074.19,67060922
2023-01-10,1076.32,1081.3,1067.83,1072.79,89925736
2023-01-11,1063.94,1069.63,1062.38,1068.06,82767305
2023-01-12,1076.2,1082.57,1070.81,1077.18,85197606
2023-01-13,1078.34,1084.14,1074.86,1080.66,74629564
2023-01-16,1046.43,1048.37,1044.89,1046.83,60338738
2023-01-17,1040.78,1045.64,1036.83,1041.69,103099727
2023-01-18,1048.41,1055.82,1039.75,1047.15,62035229
2023-01-19,1058.85,1066.18,1050.99,1058.31,83016035
2023-01-20,1061.73,1071.31,1054.94,1064.51,73037975
2023-01-23,1078.08,1084.78,1072.65,1079.35,85720358
2023-01-24,1087.82,1094.01,1081.63,1087.82,63769298
2023-01-25,1077.51,1082.57,1070.86,1075.92,94919559
2023-01-26,1057.69,1060.11,1050.16,1052.57,101036292
2023-01-27,1035.3,1038.09,1031.07,1033.85,93766961
2023-01-30,1032.37,1037.86,1028.97,1034.46,78105121
2023-01-31,1034.47,1042.22,1026.91,1034.66,66969713
2023-02-01,1023.11,1029.92,1015.94,1022.74,128160145
2023-02-02,1011.58,1015.0,1009.21,1012.63,56515320
2023-02-03,995.23,999.82,989.72,994.3,91698745
2023-02-06,983.73,991.87,980.1,988.22,81395667
2023-02-07,1000.3,1004.49,995.01,999.2,73969145
2023-02-08,1008.25,1012.67,1004.79,1009.21,78622442
2023-02-09,1001.76,1009.31,994.44,1001.98,65559071
2023-02-10,1012.04,1016.55,1004.58,1009.08,83166635
2023-02-13,1028.62,1036.31,1023.55,1031.22,81095835
2023-02-14,1029.09,1034.18,1023.44,1028.53,125446348
2023-02-15,1023.8,1026.3,1019.67,1022.17,95260431
2023-02-16,1015.15,1019.94,1010.02,1014.81,84835343
2023-02-17,1015.96,1026.0,1009.23,1019.25,85956419
2023-02-20,1034.87,1042.57,1024.39,1032.08,109701514
2023-02-21,1044.17,1046.91,1041.87,1044.61,56913546
2023-02-22,1043.46,1046.09,1041.93,1044.56,71711156
2023-02-23,1041.54,1047.01,1036.73,1042.19,39316475
2023-02-24,1043.82,1051.64,1036.81,1044.62,85641094
2023-02-27,1032.09,1039.96,1026.71,1034.56,91077759
2023-02-28,1040.65,1046.75,1034.21,1040.31,56440637
2023-03-01,1024.93,1027.98,1023.11,1026.16,102103376
2023-03-02,1041.44,1044.94,1036.56,1040.05,61639098
2023-03-03,1056.62,1056.74,1055.42,1055.53,68710369
2023-03-06,1061.43,1065.91,1053.53,1057.99,77390137
2023-03-07,1079.57,1080.21,1079.38,1080.03,105092535
2023-03-08,1082.38,1091.89,1074.63,1084.13,59021874
2023-03-09,1053.83,1064.98,1045.81,1056.94,80615339
2023-03-10,1079.54,1084.7,1069.68,1074.82,89700069
2023-03-13,1072.36,1073.94,1069.36,1070.94,85823249
2023-03-14,1061.76,1068.82,1056.19,1063.24,86517032
2023-03-15,1070.65,1079.45,1058.26,1067.03,89449511
2023-03-16,1104.09,1110.11,1095.1,1101.1,64722955
2023-03-17,1104.47,1115.07,1096.88,1107.46,106850592
2023-03-20,1103.11,1108.67,1099.22,1104.77,73055921
2023-03-21,1116.01,1119.39,1112.93,1116.31,70563042
2023-03-22,1109.03,1116.26,1104.2,1111.41,100460456
