Date,Open,High,Low,Close,Volume
2019-01-01,117.68,118.08,117.47,117.87,5907964
2019-01-02,115.33,115.68,114.83,115.18,8201858
2019-01-03,115.33,116.18,114.69,115.54,5524531
2019-01-04,113.98,114.43,113.13,113.57,2409289
2019-01-07,115.27,115.59,114.97,115.29,3536434
2019-01-08,116.08,116.5,115.66,116.08,5610597
2019-01-09,114.67,115.18,113.89,114.39,9922765
2019-01-10,114.89,115.6,113.93,114.64,4153745
2019-01-11,115.64,115.92,115.33,115.61,6941161
2019-01-14,116.29,116.93,115.92,116.56,5296377
2019-01-15,114.89,115.89,114.23,115.22,4301216
2019-01-16,114.37,114.77,113.92,114.32,6107925
2019-01-17,115.1,115.21,114.88,115.0,7377335
2019-01-18,116.33,117.06,115.75,116.48,4953359
2019-01-21,117.3,117.98,116.8,117.47,7796369
2019-01-22,117.03,118.17,116.54,117.67,3457248
2019-01-23,117.78,118.34,117.15,117.7,7857208
2019-01-24,117.38,118.23,116.73,117.57,5873983
2019-01-25,117.21,118.17,115.98,116.94,3679392
2019-01-28,117.07,117.79,115.98,116.7,4745214
2019-01-29,117.17,117.79,116.49,117.12,6180661
2019-01-30,116.18,116.87,115.84,116.53,6870051
2019-01-31,117.75,118.62,116.71,117.59,4580667
2019-02-01,117.52,118.51,116.73,117.72,8109482
2019-02-04,120.7,121.33,120.16,120.79,9375012
2019-02-05,121.23,121.56,121.08,121.41,6315458
2019-02-06,119.98,120.59,119.7,120.3,3424499
2019-02-07,118.53,119.76,117.51,118.75,4317247
2019-02-08,120.36,121.28,119.6,120.52,3031252
2019-02-11,121.4,121.73,120.66,120.99,6256073
2019-02-12,120.12,120.9,119.53,120.3,6486908
2019-02-13,117.03,117.46,116.65,117.08,5180626
2019-02-14,118.85,119.51,118.07,118.73,5459309
2019-02-15,118.39,118.86,117.81,118.28,8464970
2019-02-18,118.22,118.9,117.55,118.23,5609358
2019-02-19,118.79,119.89,117.88,118.98,3742270
2019-02-20,117.17,118.06,116.19,117.07,8711440
2019-02-21,117.55,118.22,116.96,117.63,5321179
2019-02-22,118.16,118.88,116.82,117.53,2914682
2019-02-25,117.67,118.17,116.92,117.41,3418357
2019-02-26,118.99,119.36,118.52,118.89,4779283
2019-02-27,121.58,121.81,121.42,121.65,5720801
2019-02-28,121.62,122.09,120.99,121.46,5126135
2019-03-01,117.43,118.09,117.16,117.82,8841569
2019-03-04,116.19,117.35,115.3,116.45,7084458
2019-03-05,115.79,116.37,115.66,116.24,4316174
