Date,Open,High,Low,Close,Volume
2019-01-01,3220.1,3234.72,3201.39,3215.99,51082991
2019-01-02,3186.85,3194.29,3171.08,3178.5,28685247
2019-01-03,3215.26,3241.94,3186.45,3213.11,50924813
2019-01-04,3280.21,3292.08,3265.63,3277.5,45851900
2019-01-07,3290.06,3303.59,3268.93,3282.43,28787663
2019-01-08,3253.86,3281.45,3227.29,3254.87,54043511
2019-01-09,3253.02,3282.81,3240.97,3270.69,35652764
2019-01-10,3272.48,3294.03,3247.19,3268.72,45796866
2019-01-11,3253.16,3272.67,3242.75,3262.23,58480943
2019-01-14,3277.5,3285.94,3274.17,3282.6,87911279
2019-01-15,3218.98,3236.19,3198.69,3215.89,26770027
2019-01-16,3262.26,3273.08,3254.71,3265.52,75059968
2019-01-17,3255.8,3266.15,3247.9,3258.25,49059969
2019-01-18,3202.69,3210.46,3192.94,3200.7,52867280
2019-01-21,3276.81,3288.86,3259.18,3271.2,52562526
2019-01-22,3262.06,3292.11,3242.92,3272.91,41569389
2019-01-23,3312.27,3334.5,3293.9,3316.11,38603179
2019-01-24,3370.61,3392.3,3348.77,3370.45,64236890
2019-01-25,3391.37,3415.82,3364.16,3388.59,73054829
2019-01-28,3330.04,3346.54,3321.85,3338.33,58348011
2019-01-29,3278.04,3281.48,3275.92,3279.36,41909888
2019-01-30,3268.22,3283.35,3256.23,3271.34,44459479
2019-01-31,3271.33,3282.15,3263.56,3274.38,76075763
2019-02-01,3260.46,3272.93,3247.48,3259.94,64501969
2019-02-04,3331.27,3353.93,3311.46,3334.1,46095230
2019-02-05,3339.85,3347.14,3327.54,3334.83,41667308
2019-02-06,3230.31,3234.28,3229.95,3233.92,37141841
2019-02-07,3302.73,3306.23,3299.76,3303.25,33059685
2019-02-08,3276.18,3305.83,3255.93,3285.52,48451481
2019-02-11,3299.75,3327.66,3277.74,3305.61,46928089
2019-02-12,3397.23,3410.65,3372.36,3385.73,53051391
2019-02-13,3392.43,3393.64,3391.22,3392.42,77804218
2019-02-14,3315.82,3340.6,3296.08,3320.84,32200221
2019-02-15,3385.53,3404.61,3375.2,3394.25,18082138
2019-02-18,3364.17,3389.88,3342.85,3368.54,25179930
2019-02-19,3418.81,3452.35,3384.86,3418.39,71258383
2019-02-20,3492.95,3501.28,3486.08,3494.42,44610405
2019-02-21,3475.94,3500.89,3453.84,3478.77,44483024
2019-02-22,3492.0,3521.81,3455.56,3485.32,34097851
2019-02-25,3456.22,3485.3,3425.05,3454.11,53315703
2019-02-26,3439.82,3453.97,3424.56,3438.7,14085222
2019-02-27,3378.52,3399.89,3360.1,3381.46,50497208
2019-02-28,3395.83,3416.11,3368.51,3388.75,53028611
2019-03-01,3446.18,3470.33,3416.95,3441.06,46463234
2019-03-04,3410.14,3446.95,3376.27,3413.04,52989278
2019-03-05,3407.8,3440.99,3380.49,3413.63,35985453
2019-03-06,3439.43,3471.83,3425.2,3457.52,64451609
2019-03-07,3444.36,3459.25,3434.83,3449.7,47806241
2019-03-08,3532.97,3565.67,3512.45,3545.09,73131301
2019-03-11,3581.31,3601.4,3561.73,3581.82,56182156
2019-03-12,3589.74,3596.91,3569.83,3576.97,47436607
2019-03-13,3560.21,3583.34,3542.19,3565.29,48007778
2019-03-14,3626.67,3635.51,3607.33,3616.14,26899887
2019-03-15,3580.42,3585.73,3570.69,3575.99,48800177
2019-03-18,3584.16,3612.31,3553.93,3582.07,56598580
2019-03-19,3574.94,3607.54,3548.59,3581.15,62214652
2019-03-20,3549.71,3573.34,3528.92,3552.53,57160666
2019-03-21,3596.1,3608.59,3585.36,3597.84,40530724
2019-03-22,3581.14,3602.33,3554.42,3575.58,48713202
2019-03-25,3578.27,3601.32,3563.9,3586.92,40706364
2019-03-26,3561.67,3584.28,3532.19,3554.76,38912863
2019-03-27,3559.26,3602.2,3521.55,3564.44,49122387
2019-03-28,3571.2,3579.39,3555.77,3563.94,10791936
2019-03-29,3572.55,3610.15,3539.19,3576.75,71611183
2019-04-01,3624.94,3649.03,3607.24,3631.3,39753111
2019-04-02,3582.1,3600.27,3565.62,3583.78,59063134
2019-04-03,3569.55,3578.59,3560.22,3569.26,73631304
2019-04-04,3507.98,3546.69,3487.34,3525.94,36399874
