Date,Open,High,Low,Close,Volume
2023-01-02,884.18,886.53,883.09,885.44,52724104
2023-01-03,912.06,915.3,908.21,911.44,68513551
2023-01-04,903.84,911.63,896.29,904.08,74465466
2023-01-05,904.35,910.0,900.41,906.06,60297255
2023-01-06,915.54,919.75,910.65,914.86,75987865
2023-01-09,903.77,908.77,899.68,904.67,47461307
2023-01-10,903.79,908.24,898.53,902.98,55793875
2023-01-11,899.59,905.77,896.49,902.66,78103924
2023-01-12,888.84,893.07,885.14,889.36,59925116
2023-01-13,879.66,882.66,876.38,879.38,95279266
2023-01-16,875.37,876.69,873.75,875.07,71281759
2023-01-17,857.33,863.2,850.27,856.13,47199317
2023-01-18,862.6,865.39,860.24,863.02,40515987
2023-01-19,838.1,844.55,830.9,837.35,79739304
2023-01-20,839.83,842.44,837.33,839.94,56546994
2023-01-23,849.63,851.14,846.87,848.38,81945354
2023-01-24,857.37,867.21,850.19,860.01,57661592
2023-01-25,867.02,872.9,865.68,871.56,70699051
2023-01-26,873.59,873.62,871.38,871.41,61075701
2023-01-27,886.69,889.13,885.26,887.7,70924021
2023-01-30,877.98,884.71,874.27,880.98,78821850
2023-01-31,889.08,890.99,887.46,889.37,66984969
2023-02-01,879.52,883.4,876.55,880.43,77682724
2023-02-02,878.14,878.52,877.11,877.49,38356012
2023-02-03,891.74,897.69,884.92,890.86,73593068
2023-02-06,890.55,896.05,885.79,891.29,67049650
2023-02-07,875.5,877.22,872.15,873.87,62297576
2023-02-08,864.88,867.09,864.76,866.98,26814766
2023-02-09,874.49,880.98,872.13,878.62,38855910
2023-02-10,852.91,857.86,847.71,852.66,70455281
2023-02-13,845.58,851.65,839.96,846.02,72557880
2023-02-14,845.5,852.13,842.09,848.71,73488578
2023-02-15,860.48,863.49,856.43,859.43,66545582
2023-02-16,872.66,878.56,869.74,875.63,46690115
2023-02-17,873.09,877.75,868.63,873.29,49532195
2023-02-20,874.72,880.2,867.91,873.38,31514067
2023-02-21,868.53,872.19,864.43,868.08,68743043
2023-02-22,869.64,872.9,866.03,869.29,98427155
2023-02-23,856.41,862.42,851.22,857.22,65134497
2023-02-24,862.11,868.57,855.37,861.82,53995680
2023-02-27,838.47,841.76,834.33,837.61,67093052
2023-02-28,839.41,844.42,835.49,840.49,64404872
2023-03-01,837.3,841.72,834.79,839.2,37728024
2023-03-02,851.02,854.98,845.72,849.68,70902118
2023-03-03,860.61,862.89,855.16,857.43,64856021
2023-03-06,855.8,862.08,846.98,853.25,63823208
2023-03-07,856.27,866.19,850.9,860.79,99804053
2023-03-08,851.28,858.07,842.39,849.16,64978224
2023-03-09,831.61,835.49,828.8,832.67,97042364
2023-03-10,838.64,845.89,828.41,835.63,52880686
2023-03-13,817.08,822.86,813.0,818.78,41497902
2023-03-14,832.69,838.1,829.16,834.57,53168906
2023-03-15,816.85,822.66,811.12,816.93,86220576
2023-03-16,826.02,828.72,823.99,826.69,54023335
2023-03-17,823.64,827.98,819.87,824.22,42898234
2023-03-20,830.96,834.44,825.92,829.4,72337314
2023-03-21,839.06,843.54,832.53,836.99,60274734
2023-03-22,829.43,834.0,826.43,831.0,76240341
2023-03-23,825.84,828.66,820.32,823.14,55472732
2023-03-24,826.54,831.68,823.45,828.58,51277651
2023-03-27,837.93,842.23,834.64,838.94,94322271
2023-03-28,844.83,848.77,836.66,840.57,52788617
2023-03-29,846.38,852.37,839.77,845.76,52741669
2023-03-30,845.08,846.35,844.92,846.19,74360620
2023-03-31,832.93,837.96,827.47,832.49,20222953
2023-04-03,821.47,824.39,817.4,820.31,78879162
2023-04-04,835.51,838.97,831.49,834.95,96473691
2023-04-05,835.09,837.04,831.02,832.96,81086793
2023-04-06,840.71,846.04,836.85,842.17,49314734
2023-04-07,836.36,840.57,833.25,837.45,54611351
2023-04-10,826.62,831.45,823.27,828.09,67738479
2023-04-11,822.58,828.61,817.92,823.95,72752026
2023-04-12,830.79,835.58,825.93,830.72,93565348
2023-04-13,820.65,828.44,814.63,822.4,92814230
2023-04-14,824.77,827.5,821.55,824.29,63078767
2023-04-17,829.96,834.83,824.05,828.92,57811237
2023-04-18,827.25,834.06,822.48,829.28,53639213
2023-04-19,829.24,834.17,825.36,830.28,77407255
2023-04-20,830.56,837.95,824.02,831.4,84664341
2023-04-21,823.07,826.09,820.42,823.43,67804022
2023-04-24,819.89,824.1,815.95,820.16,66645802
2023-04-25,813.6,817.76,807.98,812.13,101883558
2023-04-26,809.78,811.48,806.49,808.19,77999211
2023-04-27,814.41,821.46,808.68,815.73,32451377
2023-04-28,824.18,827.71,819.51,823.04,66094870
2023-05-01,827.7,832.15,820.99,825.43,70023890
2023-05-02,826.36,832.69,818.05,824.36,62175491
2023-05-03,827.99,832.07,823.57,827.65,87695173
2023-05-04,828.55,832.44,824.75,828.64,61169842
2023-05-05,822.63,828.77,818.82,824.95,50255059
2023-05-08,823.33,826.06,821.28,824.01,54829918
2023-05-09,810.52,815.99,807.49,812.95,77907657
2023-05-10,803.38,806.75,798.18,801.55,44084735
2023-05-11,814.67,818.92,810.84,815.1,58450126
2023-05-12,820.35,826.44,814.39,820.49,80785896
2023-05-15,814.53,820.72,809.35,815.54,43993771
2023-05-16,812.38,817.38,809.68,814.68,49378405
2023-05-17,812.02,815.64,807.25,810.86,38414753
2023-05-18,811.02,816.94,804.29,810.21,51740345
2023-05-19,818.02,818.88,815.63,816.49,57958612
2023-05-22,791.5,797.49,788.29,794.28,62711778
2023-05-23,798.18,799.69,794.58,796.08,51387424
