Date,Open,High,Low,Close,Volume
2019-01-01,3142.91,3143.73,3131.97,3132.79,253704248
2019-01-02,3116.36,3139.87,3099.15,3122.62,309121477
2019-01-03,3113.55,3126.43,3092.85,3105.7,341521254
2019-01-04,3117.48,3130.79,3094.85,3108.12,469234329
2019-01-07,3048.88,3069.25,3037.08,3057.42,184904038
2019-01-08,3056.03,3073.78,3037.46,3055.21,495382114
2019-01-09,3038.36,3057.96,3021.8,3041.39,333586006
2019-01-10,2990.1,3013.61,2964.76,2988.26,478580324
2019-01-11,3039.83,3052.97,3017.93,3031.03,251813762
2019-01-14,3049.88,3079.42,3019.47,3049.0,401518547
2019-01-15,3096.32,3121.83,3071.25,3096.76,421574328
2019-01-16,3095.37,3114.86,3078.36,3097.84,191244063
2019-01-17,3083.64,3113.28,3060.85,3090.43,328887125
2019-01-18,3108.33,3121.45,3105.74,3118.85,434045112
2019-01-21,3176.48,3204.32,3143.07,3170.87,229955479
2019-01-22,3247.17,3255.1,3242.15,3250.08,135086154
2019-01-23,3236.59,3244.71,3218.76,3226.85,290657954
2019-01-24,3192.63,3205.7,3179.59,3192.66,454351234
2019-01-25,3126.83,3143.09,3110.29,3126.54,254716674
2019-01-28,3136.42,3144.31,3126.99,3134.88,367771567
2019-01-29,3092.32,3115.97,3070.1,3093.75,676062570
2019-01-30,3190.53,3209.86,3160.02,3179.27,331235458
2019-01-31,3223.88,3224.4,3219.94,3220.46,217100184
2019-02-01,3268.52,3272.14,3268.07,3271.68,385347791
2019-02-04,3268.98,3269.22,3268.47,3268.7,354255644
2019-02-05,3212.23,3224.13,3206.8,3218.7,400566603
2019-02-06,3204.27,3223.74,3183.49,3202.96,408318647
2019-02-07,3163.39,3175.01,3155.5,3167.11,239869859
2019-02-08,3139.04,3149.7,3122.35,3132.98,379973194
2019-02-11,3118.03,3139.64,3101.44,3123.02,386673865
2019-02-12,3100.75,3121.25,3087.93,3108.4,311875616
2019-02-13,3080.96,3100.36,3065.0,3084.38,183749018
2019-02-14,3071.98,3097.06,3044.09,3069.15,277902451
2019-02-15,3085.37,3113.72,3066.97,3095.26,367213656
2019-02-18,3109.66,3128.84,3101.85,3121.01,353189901
2019-02-19,3184.84,3202.04,3169.73,3186.93,280398640
2019-02-20,3202.94,3224.36,3178.49,3199.89,195839610
2019-02-21,3191.73,3213.54,3182.13,3203.9,366451465
2019-02-22,3189.21,3206.47,3170.09,3187.33,148791225
2019-02-25,3172.93,3175.02,3160.09,3162.18,391617856
2019-02-26,3127.65,3142.81,3116.33,3131.48,294333905
2019-02-27,3091.3,3108.31,3078.08,3095.07,383949789
2019-02-28,3065.34,3087.31,3042.6,3064.57,294207979
2019-03-01,3008.82,3033.4,2983.8,3008.37,253216418
2019-03-04,2979.43,3000.33,2967.67,2988.54,381039342
2019-03-05,2943.92,2959.17,2922.53,2937.75,275055861
2019-03-06,2888.87,2917.02,2869.48,2897.57,398649754
2019-03-07,2869.07,2899.53,2839.07,2869.53,342471792
2019-03-08,2907.88,2924.27,2896.29,2912.67,363646462
2019-03-11,2877.15,2907.28,2850.74,2880.84,312959220
2019-03-12,2862.66,2875.43,2852.44,2865.2,244945175
2019-03-13,2806.04,2833.62,2788.88,2816.39,209695149
2019-03-14,2873.69,2895.12,2858.39,2879.78,131628307
2019-03-15,2838.51,2863.04,2811.95,2836.46,317401580
2019-03-18,2835.45,2847.33,2814.37,2826.21,298066667
2019-03-19,2815.44,2821.17,2801.79,2807.5,376318898
2019-03-20,2819.28,2847.47,2796.29,2824.44,291552628
2019-03-21,2860.1,2881.08,2843.19,2864.14,217426545
2019-03-22,2919.54,2937.34,2893.39,2911.15,339551997
2019-03-25,2899.05,2902.4,2896.59,2899.94,542606769
2019-03-26,2896.63,2916.78,2873.84,2893.97,348280563
2019-03-27,2942.01,2950.08,2928.69,2936.74,233621344
2019-03-28,2974.07,2984.23,2968.35,2978.51,316398991
2019-03-29,2981.38,2984.17,2976.01,2978.8,49221241
2019-04-01,2933.6,2942.44,2926.9,2935.74,433938198
2019-04-02,2983.05,3007.76,2963.53,2988.21,436522138
2019-04-03,3005.15,3023.35,2993.01,3011.19,325305577
2019-04-04,3053.32,3075.35,3034.38,3056.39,178819249
2019-04-05,3087.95,3109.5,3067.27,3088.81,366897804
2019-04-08,3034.73,3051.53,3015.44,3032.23,399497081
2019-04-09,3083.57,3108.15,3064.93,3089.47,260558439
2019-04-10,3102.88,3107.72,3094.22,3099.05,529620237
2019-04-11,3143.79,3151.01,3131.41,3138.62,294474611
2019-04-12,3204.92,3229.92,3165.99,3190.88,220859836
2019-04-15,3181.3,3210.86,3149.89,3179.42,171918606
2019-04-16,3135.21,3150.81,3122.92,3138.52,395295320
2019-04-17,3107.66,3128.71,3078.49,3099.49,325321072
2019-04-18,3139.81,3163.63,3107.7,3131.46,204768355
2019-04-19,3143.44,3151.87,3131.43,3139.84,257176024
2019-04-22,3143.36,3161.96,3130.57,3149.15,271986642
2019-04-23,3160.65,3194.61,3134.85,3168.74,196236281
2019-04-24,3142.1,3164.02,3123.08,3144.98,255905481
2019-04-25,3142.56,3155.19,3130.66,3143.3,465530258
2019-04-26,3220.24,3234.87,3195.02,3209.61,453661817
2019-04-29,3145.0,3160.68,3126.23,3141.9,368380100
2019-04-30,3163.38,3185.96,3145.51,3168.07,461880455
2019-05-01,3204.35,3222.04,3185.26,3202.94,244969358
2019-05-02,3167.89,3188.17,3136.97,3157.18,273132066
2019-05-03,3148.04,3163.32,3126.68,3141.94,402321715
2019-05-06,3104.96,3137.69,3073.32,3106.04,385053816
2019-05-07,3214.74,3231.71,3198.19,3215.16,236653949
2019-05-08,3155.76,3177.22,3152.48,3173.93,367005441
2019-05-09,3152.13,3177.99,3129.12,3154.96,100388747
2019-05-10,3159.2,3181.17,3144.36,3166.3,291191105
2019-05-13,3200.43,3213.89,3186.54,3200.0,171299280
2019-05-14,3203.34,3211.34,3189.09,3197.08,478162713
2019-05-15,3153.01,3180.98,3122.83,3150.78,134119837
2019-05-16,3063.52,3076.52,3049.6,3062.6,387327119
2019-05-17,3086.18,3115.11,3062.38,3091.27,387106612
2019-05-20,3075.71,3094.27,3041.78,3060.24,266579409
2019-05-21,3059.97,3094.96,3022.05,3057.0,323033960
2019-05-22,3075.83,3088.16,3072.73,3085.05,323182167
2019-05-23,3002.31,3012.16,2990.3,3000.15,327382062
2019-05-24,2954.45,2977.27,2930.57,2953.39,163962350
2019-05-27,2877.41,2897.42,2864.13,2884.11,445819082
2019-05-28,2901.1,2914.07,2886.19,2899.14,319632442
2019-05-29,2871.16,2888.01,2858.79,2875.62,501140702
2019-05-30,2808.67,2837.71,2785.56,2814.55,391585011
2019-05-31,2825.93,2834.22,2817.14,2825.43,292080519
2019-06-03,2841.7,2858.63,2817.83,2834.72,270386364
2019-06-04,2897.68,2909.7,2878.96,2890.95,390185746
2019-06-05,2926.21,2952.98,2908.58,2935.29,209886163
2019-06-06,2898.95,2912.02,2886.68,2899.74,288172060
2019-06-07,2880.37,2888.56,2872.69,2880.87,217933453
2019-06-10,2799.01,2816.98,2779.41,2797.36,353906653
2019-06-11,2806.81,2809.37,2800.97,2803.53,276191822
2019-06-12,2845.14,2857.25,2835.29,2847.39,297311435
2019-06-13,2806.97,2825.52,2783.55,2802.06,444223937
2019-06-14,2803.27,2820.68,2782.94,2800.33,313708819
2019-06-17,2782.04,2795.95,2769.79,2783.7,402978512
2019-06-18,2800.14,2808.84,2791.57,2800.26,330689173
2019-06-19,2774.14,2803.3,2740.71,2769.82,409194164
2019-06-20,2772.21,2787.25,2754.48,2769.5,423420992
2019-06-21,2790.65,2800.59,2779.2,2789.14,315983721
2019-06-24,2802.57,2809.3,2788.22,2794.94,244997410
2019-06-25,2727.89,2748.15,2703.21,2723.44,269705821
2019-06-26,2751.84,2752.04,2748.02,2748.22,233474805
2019-06-27,2744.06,2766.74,2720.51,2743.18,306594573
2019-06-28,2741.29,2776.05,2724.25,2758.9,351797142
2019-07-01,2804.49,2826.88,2779.89,2802.27,191853373
2019-07-02,2769.69,2788.35,2761.74,2780.37,475410313
2019-07-03,2749.9,2771.05,2724.57,2745.68,197889912
2019-07-04,2788.03,2801.6,2774.7,2788.28,343136893
2019-07-05,2814.84,2831.78,2797.66,2814.6,381154714
2019-07-08,2812.83,2830.17,2790.57,2807.88,311850625
2019-07-09,2828.35,2851.67,2817.04,2840.32,251580290
2019-07-10,2857.63,2862.2,2841.98,2846.53,230287639
2019-07-11,2867.87,2880.12,2850.39,2862.62,293470876
2019-07-12,2845.06,2855.57,2833.69,2844.19,421889686
2019-07-15,2797.98,2806.79,2785.99,2794.79,288562496
2019-07-16,2795.41,2816.61,2776.02,2797.21,358544803
2019-07-17,2821.47,2829.89,2810.48,2818.9,264272720
2019-07-18,2841.47,2887.51,2804.81,2850.73,447469146
2019-07-19,2894.64,2919.43,2875.61,2900.37,384741633
2019-07-22,2909.06,2948.33,2885.86,2925.0,391798492
2019-07-23,2877.35,2893.96,2858.5,2875.09,362674202
2019-07-24,2838.89,2867.03,2805.94,2834.03,379022102
2019-07-25,2851.84,2863.89,2836.12,2848.15,292855701
2019-07-26,2865.05,2878.69,2855.48,2869.11,399023049
2019-07-29,2875.74,2892.93,2855.69,2872.87,230102363
2019-07-30,2887.76,2914.72,2869.83,2896.74,367465251
2019-07-31,2875.69,2887.59,2854.97,2866.83,319708513
2019-08-01,2886.6,2887.22,2877.04,2877.66,378544837
2019-08-02,2843.24,2859.7,2827.87,2844.32,356701857
2019-08-05,2814.97,2821.68,2809.35,2816.06,275502329
2019-08-06,2790.19,2800.68,2774.23,2784.7,226254166
2019-08-07,2783.35,2799.23,2767.93,2783.8,571417886
2019-08-08,2761.62,2783.94,2744.5,2766.79,359583624
2019-08-09,2847.98,2854.57,2834.24,2840.81,168019443
2019-08-12,2864.03,2871.14,2857.72,2864.82,320175612
2019-08-13,2888.37,2898.65,2880.31,2890.58,386431154
2019-08-14,2883.71,2901.91,2869.06,2887.24,246420861
2019-08-15,2886.42,2918.14,2861.03,2892.7,303063095
2019-08-16,2928.06,2936.36,2917.81,2926.1,251091307
2019-08-19,2890.31,2912.06,2873.68,2895.39,393029427
2019-08-20,2861.08,2880.26,2845.82,2864.98,256476953
2019-08-21,2830.77,2846.02,2810.22,2825.44,276275329
2019-08-22,2864.43,2882.87,2845.76,2864.19,325947209
2019-08-23,2876.75,2899.38,2846.72,2869.28,272610461
2019-08-26,2903.02,2914.08,2880.71,2891.73,238073895
2019-08-27,2972.46,2993.27,2950.99,2971.79,307634898
2019-08-28,2908.32,2927.95,2896.23,2915.83,391891456
2019-08-29,2904.77,2920.69,2880.84,2896.72,445491696
2019-08-30,2892.08,2903.68,2887.7,2899.29,395246649
2019-09-02,2899.61,2909.86,2892.83,2903.08,271129989
2019-09-03,2880.2,2888.78,2868.58,2877.16,297928429
2019-09-04,2847.69,2856.9,2846.44,2855.65,158032145
2019-09-05,2843.89,2872.15,2825.39,2853.58,491704306
2019-09-06,2863.94,2887.77,2841.82,2865.64,435576801
2019-09-09,2920.44,2931.15,2913.35,2924.06,256928571
2019-09-10,2906.8,2915.62,2889.37,2898.16,297782820
2019-09-11,2883.71,2898.62,2872.22,2887.11,270118058
2019-09-12,2890.44,2914.05,2869.49,2893.08,224881264
2019-09-13,2827.99,2851.78,2802.88,2826.66,424956500
2019-09-16,2837.97,2854.84,2813.72,2830.54,353539886
2019-09-17,2795.67,2816.1,2778.61,2799.02,276558686
2019-09-18,2779.86,2800.96,2753.75,2774.82,327530783
2019-09-19,2754.07,2765.93,2737.55,2749.38,221815644
2019-09-20,2802.14,2821.73,2773.26,2792.78,416495027
2019-09-23,2838.12,2861.56,2814.1,2837.54,170658062
2019-09-24,2823.16,2840.7,2799.18,2816.68,435213145
2019-09-25,2843.05,2863.96,2824.12,2845.02,135705651
2019-09-26,2864.09,2882.25,2847.26,2865.41,220356900
2019-09-27,2828.53,2862.18,2808.07,2841.62,157189790
