Date,Open,High,Low,Close,Volume
2019-01-01,1354.41,1358.2,1350.9,1354.69,37075201
2019-01-02,1347.88,1355.28,1336.85,1344.23,71129904
2019-01-03,1318.02,1324.05,1307.32,1313.33,32035953
2019-01-04,1341.03,1349.14,1331.4,1339.49,65761934
2019-01-07,1324.39,1332.0,1318.62,1326.22,55912544
2019-01-08,1334.33,1340.01,1329.73,1335.4,48724677
2019-01-09,1325.73,1333.32,1320.22,1327.8,73418172
2019-01-10,1301.19,1312.0,1292.39,1303.18,86579699
2019-01-11,1295.9,1299.6,1290.89,1294.59,38669627
2019-01-14,1287.01,1301.11,1277.81,1291.87,51439385
2019-01-15,1292.1,1299.87,1283.98,1291.74,58971430
2019-01-16,1310.54,1321.31,1297.39,1308.13,78008952
2019-01-17,1315.11,1325.78,1306.59,1317.25,62829902
2019-01-18,1320.54,1328.48,1313.67,1321.6,47246473
2019-01-21,1334.83,1339.14,1331.63,1335.94,71237270
2019-01-22,1355.9,1357.01,1352.69,1353.8,77189525
2019-01-23,1359.66,1360.45,1358.17,1358.96,75723285
2019-01-24,1345.49,1356.51,1332.14,1343.13,94802239
2019-01-25,1353.53,1358.47,1350.54,1355.48,76038714
2019-01-28,1361.11,1365.96,1357.09,1361.95,61524467
2019-01-29,1393.15,1401.95,1383.64,1392.44,46871371
2019-01-30,1425.5,1439.0,1413.3,1426.79,93418219
2019-01-31,1426.84,1432.07,1418.44,1423.65,52638449
2019-02-01,1458.46,1471.79,1443.64,1456.97,62345817
2019-02-04,1464.02,1471.11,1454.28,1461.36,91137837
2019-02-05,1485.32,1493.18,1474.63,1482.49,50537851
2019-02-06,1472.89,1481.62,1463.33,1472.05,39990864
2019-02-07,1459.62,1468.16,1452.49,1461.03,49265206
2019-02-08,1443.65,1458.26,1431.28,1445.87,77452395
2019-02-11,1448.74,1455.41,1438.56,1445.22,53493711
2019-02-12,1437.86,1446.4,1430.65,1439.19,56172996
2019-02-13,1452.04,1464.47,1440.2,1452.63,33559509
2019-02-14,1460.13,1469.41,1453.34,1462.6,55143116
2019-02-15,1453.46,1464.88,1440.75,1452.16,76510418
2019-02-18,1436.25,1449.06,1414.43,1427.15,69567751
2019-02-19,1429.65,1436.02,1421.44,1427.8,67455628
2019-02-20,1437.25,1440.93,1427.82,1431.48,49433046
2019-02-21,1402.78,1413.24,1393.59,1404.04,65091354
2019-02-22,1422.38,1429.39,1416.44,1423.44,67205342
2019-02-25,1436.19,1440.12,1431.02,1434.94,70857128
2019-02-26,1446.5,1451.24,1443.45,1448.17,73624567
2019-02-27,1425.92,1435.9,1414.29,1424.25,71554878
2019-02-28,1434.94,1443.51,1418.55,1427.08,72139801
2019-03-01,1457.29,1470.22,1445.33,1458.26,60216468
2019-03-04,1475.76,1489.91,1466.72,1480.84,53864968
2019-03-05,1471.12,1484.46,1465.98,1479.3,67795555
2019-03-06,1515.27,1522.92,1509.44,1517.09,71125126
2019-03-07,1505.51,1513.18,1497.43,1505.09,69922912
2019-03-08,1485.68,1501.72,1470.77,1486.8,67732239
2019-03-11,1481.42,1487.75,1475.22,1481.55,52398574
2019-03-12,1480.48,1492.29,1464.74,1476.52,54990593
2019-03-13,1493.33,1500.15,1484.85,1491.66,68829861
2019-03-14,1510.8,1522.26,1497.18,1508.62,67098430
2019-03-15,1467.73,1471.47,1465.37,1469.11,59178825
2019-03-18,1442.98,1447.61,1439.42,1444.05,42309716
2019-03-19,1454.43,1462.34,1443.51,1451.41,54433612
2019-03-20,1446.72,1462.57,1432.95,1448.77,65445919
2019-03-21,1428.35,1436.62,1422.86,1431.12,72822824
2019-03-22,1463.27,1468.64,1452.68,1458.03,74790322
2019-03-25,1465.74,1477.18,1454.35,1465.78,41089577
2019-03-26,1453.48,1462.39,1447.54,1456.44,68895756
2019-03-27,1444.29,1450.56,1438.69,1444.95,1935472
2019-03-28,1444.39,1453.32,1433.97,1442.9,36922849
